@relation autos-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1-weka.filters.unsupervised.attribute.AddExpression-Ea72+11-Nexpression-weka.filters.unsupervised.attribute.Remove-R72-weka.filters.unsupervised.attribute.AddExpression-Ea72-11-Nexpression-weka.filters.unsupervised.attribute.AddExpression-Ea72+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R72-73

@attribute normalized-losses numeric
@attribute make=alfa-romero numeric
@attribute make=audi numeric
@attribute make=bmw numeric
@attribute make=chevrolet numeric
@attribute make=dodge numeric
@attribute make=honda numeric
@attribute make=isuzu numeric
@attribute make=jaguar numeric
@attribute make=mazda numeric
@attribute make=mercedes-benz numeric
@attribute make=mercury numeric
@attribute make=mitsubishi numeric
@attribute make=nissan numeric
@attribute make=peugot numeric
@attribute make=plymouth numeric
@attribute make=porsche numeric
@attribute make=renault numeric
@attribute make=saab numeric
@attribute make=subaru numeric
@attribute make=toyota numeric
@attribute make=volkswagen numeric
@attribute make=volvo numeric
@attribute fuel-type numeric
@attribute aspiration numeric
@attribute num-of-doors numeric
@attribute body-style=hardtop numeric
@attribute body-style=wagon numeric
@attribute body-style=sedan numeric
@attribute body-style=hatchback numeric
@attribute body-style=convertible numeric
@attribute drive-wheels=4wd numeric
@attribute drive-wheels=fwd numeric
@attribute drive-wheels=rwd numeric
@attribute engine-location numeric
@attribute wheel-base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb-weight numeric
@attribute engine-type=dohc numeric
@attribute engine-type=dohcv numeric
@attribute engine-type=l numeric
@attribute engine-type=ohc numeric
@attribute engine-type=ohcf numeric
@attribute engine-type=ohcv numeric
@attribute engine-type=rotor numeric
@attribute num-of-cylinders=eight numeric
@attribute num-of-cylinders=five numeric
@attribute num-of-cylinders=four numeric
@attribute num-of-cylinders=six numeric
@attribute num-of-cylinders=three numeric
@attribute num-of-cylinders=twelve numeric
@attribute num-of-cylinders=two numeric
@attribute engine-size numeric
@attribute fuel-system=1bbl numeric
@attribute fuel-system=2bbl numeric
@attribute fuel-system=4bbl numeric
@attribute fuel-system=idi numeric
@attribute fuel-system=mfi numeric
@attribute fuel-system=mpfi numeric
@attribute fuel-system=spdi numeric
@attribute fuel-system=spfi numeric
@attribute bore numeric
@attribute stroke numeric
@attribute compression-ratio numeric
@attribute horsepower numeric
@attribute peak-rpm numeric
@attribute city-mpg numeric
@attribute highway-mpg numeric
@attribute price numeric
@attribute a72+1 {1,2,3,4,5}

@data
0.298429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.058309,0.413433,0.316667,0.083333,0.411171,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.260377,0,0,0,0,0,1,0,0,0.664286,0.290476,0.125,0.2625,0.346939,0.222222,0.289474,0.207959,5
0.298429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.058309,0.413433,0.316667,0.083333,0.411171,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.260377,0,0,0,0,0,1,0,0,0.664286,0.290476,0.125,0.2625,0.346939,0.222222,0.289474,0.282558,5
0.298429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.230321,0.449254,0.433333,0.383333,0.517843,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.343396,0,0,0,0,0,1,0,0,0.1,0.666667,0.125,0.441667,0.346939,0.166667,0.263158,0.282558,3
0.518325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.38484,0.529851,0.491667,0.541667,0.329325,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.181132,0,0,0,0,0,1,0,0,0.464286,0.633333,0.1875,0.225,0.55102,0.305556,0.368421,0.219254,4
0.518325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.373178,0.529851,0.508333,0.541667,0.518231,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.283019,0,0,0,0,0,1,0,0,0.464286,0.633333,0.0625,0.279167,0.55102,0.138889,0.157895,0.306142,4
0.298429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.38484,0.540299,0.5,0.441667,0.395268,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.283019,0,0,0,0,0,1,0,0,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,0.251527,4
0.486911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.559767,0.770149,0.925,0.658333,0.525989,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.283019,0,0,0,0,0,1,0,0,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,0.312596,3
0.298429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.559767,0.770149,0.925,0.658333,0.568658,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.283019,0,0,0,0,0,1,0,0,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,0.342634,3
0.486911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.559767,0.770149,0.925,0.675,0.61986,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.264151,0,0,0,0,0,1,0,0,0.421429,0.633333,0.08125,0.383333,0.55102,0.111111,0.105263,0.465642,3
0.298429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0.376093,0.553731,0.633333,0.35,0.60706,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.264151,0,0,0,0,0,1,0,0,0.421429,0.633333,0,0.466667,0.55102,0.083333,0.157895,0.200813,2
