@relation col10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddExpression-Ea8+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R8

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.016129,0.02834,0.495968,0,0.025641,0,0.733068,1
0.08871,0.032389,0.08871,0.015748,0.025641,0,0.733068,1
0.08871,0.032389,0.08871,0.007874,0.025641,0,0.733068,1
0.08871,0.036437,0.020161,0.007874,0.025641,0,0.733068,1
0.08871,0.032389,0.08871,0.007874,0.025641,0,0.733068,1
0.08871,0.032389,0.08871,0.007874,0.025641,0,0.733068,1
0.08871,0.032389,0.020161,0.007874,0.025641,0,0.733068,1
0.060484,0.02834,0.020161,0.007874,0.025641,0,0.733068,1
0.060484,0.02834,0.020161,0.007874,0.025641,0,0.733068,1
0.060484,0.032389,0.08871,0.007874,0.025641,0,0.733068,1
0.060484,0.02834,0.020161,0.015748,0.025641,0,0.733068,1
0.08871,0.02834,0.020161,0.007874,0.025641,0,0.733068,1
0.08871,0.02834,0.08871,0.015748,0.025641,0,0.733068,1
0.016129,0.02834,0.495968,0,0.025641,0,0.733068,1
0.08871,0.089069,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.02834,0.495968,0,0.025641,0,0.733068,1
0.060484,0.02834,0.08871,0,0.025641,0,0.733068,1
0.08871,0.02834,0.08871,0.007874,0.025641,0,0.733068,1
0.08871,0.02834,0.495968,0,0.025641,0,0.733068,1
0.08871,0.089069,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.032389,0.020161,0.007874,0.025641,0,0.733068,1
0.060484,0.032389,0.020161,0.007874,0.025641,0,0.733068,1
0.08871,0.032389,0.495968,0.015748,0.025641,0,0.733068,1
0.08871,0.032389,0.08871,0.007874,0.025641,0,0.733068,1
0.08871,0.089069,0.08871,0.015748,0.025641,0,0.733068,1
0.08871,0.032389,0.020161,0.007874,0.025641,0,0.733068,1
0.08871,0.089069,0.495968,0,0.025641,0,0.733068,1
0.08871,0.089069,0.08871,0,0.025641,0,0.733068,1
0.08871,0.089069,0.495968,0,0.025641,0,0.733068,1
0.08871,0.032389,0.495968,0,0.025641,0,0.733068,1
0.08871,0.032389,0.495968,0,0.025641,0,0.733068,1
0.08871,0.032389,0.495968,0,0.025641,0,0.733068,1
0.08871,0.089069,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.02834,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.02834,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.02834,0.08871,0,0.025641,0,0.733068,1
0.060484,0.02834,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.02834,0.495968,0,0.025641,0,0.733068,1
0.016129,0.036437,0.495968,0,0.025641,0,0.733068,1
0.08871,0.02834,0.08871,0.007874,0.025641,0.204724,0.386454,1
0.08871,0.032389,0.020161,0.007874,0.025641,0.204724,0.733068,1
0.08871,0.032389,0.08871,0,0.025641,0.204724,0.733068,1
0.08871,0.032389,0.020161,0.007874,0.025641,0.204724,0.733068,1
0.08871,0.032389,0.020161,0.007874,0.025641,0.204724,0.733068,1
0.08871,0.032389,0.020161,0.007874,0.025641,0,0.733068,1
0.08871,0.089069,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.032389,0.495968,0.007874,0.025641,0,0.733068,1
0.08871,0.032389,0.08871,0,0.025641,0,0.733068,1
0.08871,0.089069,0.495968,0.007874,0.025641,0,0.733068,1
