@relation horse-colic-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.1minalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.1rmalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddExpression-Ea61+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R61

@attribute surgery numeric
@attribute Age numeric
@attribute rectal_temperature numeric
@attribute pulse numeric
@attribute respiratory_rate numeric
@attribute temp_extremities=1rmal numeric
@attribute temp_extremities=warm numeric
@attribute temp_extremities=cool numeric
@attribute temp_extremities=cold numeric
@attribute peripheral_pulse=1rmal numeric
@attribute peripheral_pulse=increased numeric
@attribute peripheral_pulse=reduced numeric
@attribute peripheral_pulse=absent numeric
@attribute 'mucous_membranes=1rmal pink' numeric
@attribute 'mucous_membranes=bright pink' numeric
@attribute 'mucous_membranes=pale pink' numeric
@attribute 'mucous_membranes=pale cya1tic' numeric
@attribute 'mucous_membranes=bright red' numeric
@attribute 'mucous_membranes=dark cya1tic' numeric
@attribute capillary_refill_time=<3 numeric
@attribute capillary_refill_time=>=3 numeric
@attribute 'capillary_refill_time=meaning unk1wn' numeric
@attribute 'pain=alert 1 pain' numeric
@attribute pain=depressed numeric
@attribute 'pain=intermittent mild pain' numeric
@attribute 'pain=intermittent severe pain' numeric
@attribute 'pain=continuous severe pain' numeric
@attribute peristalsis=hypermotile numeric
@attribute peristalsis=1rmal numeric
@attribute peristalsis=hypomotile numeric
@attribute peristalsis=absent numeric
@attribute abdominal_distension=1ne numeric
@attribute abdominal_distension=slight numeric
@attribute abdominal_distension=moderate numeric
@attribute abdominal_distension=severe numeric
@attribute nasogastric_tube=1ne numeric
@attribute nasogastric_tube=slight numeric
@attribute nasogastric_tube=significant numeric
@attribute nasogastric_reflux=1ne numeric
@attribute nasogastric_reflux=>1l numeric
@attribute nasogastric_reflux=<1l numeric
@attribute nasogastric_reflux_PH numeric
@attribute rectal_examination=1rmal numeric
@attribute rectal_examination=increased numeric
@attribute rectal_examination=decreased numeric
@attribute rectal_examination=absent numeric
@attribute abdomen=1rmal numeric
@attribute abdomen=other numeric
@attribute 'abdomen=firm feces in large intestine' numeric
@attribute 'abdomen=distended small intestine' numeric
@attribute 'abdomen=distended large intestine' numeric
@attribute packed_cell_volume numeric
@attribute total_protein numeric
@attribute abdomi1centesis_appearance=clear numeric
@attribute abdomi1centesis_appearance=cloudy numeric
@attribute abdomi1centesis_appearance=serosangui1us numeric
@attribute abdomcentesis_total_protein numeric
@attribute outcome=lived numeric
@attribute outcome=died numeric
@attribute outcome=euthanized numeric
@attribute a61+1 {1,2}

@data
1,0,0.574074,0.233766,0.227273,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.528309,0,0,1,0,0,0,0,0,1,0.577465,0.05951,0,1,0,0.284812,0,1,0,2
0,0,0.703704,0.376623,0.136364,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,1,0,0,0,0.647887,0.953326,0,1,0,0.19,0,0,1,2
1,0,0.537037,0.064935,0.181818,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,1,0,0,0,1,0,0,0,0,0.408451,0.039673,0,1,0,0.284812,1,0,0,2
0,1,0.685185,0.87013,0.863636,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0.533333,0,0,1,0,0,0,0,0,1,0.619718,0.045508,0,0,1,0.52,0,1,0,1
1,0,0.351852,0.480519,0.306818,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,0,1,0,0,0,0,1,0.985915,0.047841,0,1,0,0.284812,0,1,0,2
1,0,0.506379,0.264658,0.255931,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.528309,0,0,1,0,0,0,1,0,0,0.586715,0.250538,0,1,0,0.284812,1,0,0,2
0,0,0.462963,0.116883,0.090909,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.528309,0,0,1,0,0,0,0,0,1,0.464789,0.043174,0,1,0,0.284812,1,0,0,1
0,0,0.506379,0.194805,0.255931,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.528309,0,0,1,0,0,0,0,1,0,0.56338,0.058343,0,1,0,0.284812,0,1,0,1
1,0,0.506379,0.324675,0.318182,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.528309,0,0,1,0,0,0,0,0,1,0.478873,0.033839,0,1,0,0.284812,0,0,1,1
1,1,0.537037,0.38961,0.255931,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.528309,0,0,1,0,0,0,0,0,1,0.507042,0.033839,1,0,0,0.21,1,0,0,2
0,0,0.5,0.233766,0.045455,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.266667,0,1,0,0,0,0,0,0,1,0.56338,0.031505,0,1,0,0.35,1,0,0,1
