@relation german_credit-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M100.0

@attribute checking_status=<0 numeric
@attribute checking_status=0<=X<200 numeric
@attribute checking_status=>=200 numeric
@attribute 'checking_status=no checking' numeric
@attribute duration numeric
@attribute 'credit_history=no credits/all paid' numeric
@attribute 'credit_history=all paid' numeric
@attribute 'credit_history=existing paid' numeric
@attribute 'credit_history=delayed previously' numeric
@attribute 'credit_history=critical/other existing credit' numeric
@attribute 'purpose=new car' numeric
@attribute 'purpose=used car' numeric
@attribute purpose=furniture/equipment numeric
@attribute purpose=radio/tv numeric
@attribute 'purpose=domestic appliance' numeric
@attribute purpose=repairs numeric
@attribute purpose=education numeric
@attribute purpose=retraining numeric
@attribute purpose=business numeric
@attribute purpose=other numeric
@attribute credit_amount numeric
@attribute savings_status=<100 numeric
@attribute savings_status=100<=X<500 numeric
@attribute savings_status=500<=X<1000 numeric
@attribute savings_status=>=1000 numeric
@attribute 'savings_status=no known savings' numeric
@attribute employment=unemployed numeric
@attribute employment=<1 numeric
@attribute employment=1<=X<4 numeric
@attribute employment=4<=X<7 numeric
@attribute employment=>=7 numeric
@attribute installment_commitment numeric
@attribute 'personal_status=male div/sep' numeric
@attribute 'personal_status=female div/dep/mar' numeric
@attribute 'personal_status=male single' numeric
@attribute 'personal_status=male mar/wid' numeric
@attribute other_parties=none numeric
@attribute 'other_parties=co applicant' numeric
@attribute other_parties=guarantor numeric
@attribute residence_since numeric
@attribute 'property_magnitude=real estate' numeric
@attribute 'property_magnitude=life insurance' numeric
@attribute property_magnitude=car numeric
@attribute 'property_magnitude=no known property' numeric
@attribute age numeric
@attribute other_payment_plans=bank numeric
@attribute other_payment_plans=stores numeric
@attribute other_payment_plans=none numeric
@attribute housing=rent numeric
@attribute housing=own numeric
@attribute 'housing=for free' numeric
@attribute existing_credits numeric
@attribute 'job=unemp/unskilled non res' numeric
@attribute 'job=unskilled resident' numeric
@attribute job=skilled numeric
@attribute 'job=high qualif/self emp/mgmt' numeric
@attribute num_dependents numeric
@attribute own_telephone numeric
@attribute foreign_worker numeric
@attribute class {1,2}

@data
1,0,0,0,0.029412,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.050567,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0.857143,0,0,1,0,1,0,0.333333,0,0,1,0,0,1,0,1
0,1,0,0,0.647059,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.31369,1,0,0,0,0,0,0,1,0,0,0.333333,0,1,0,0,1,0,0,0.333333,1,0,0,0,0.053571,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,1,0.117647,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.101574,1,0,0,0,0,0,0,0,1,0,0.333333,0,0,1,0,1,0,0,0.666667,1,0,0,0,0.535714,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0.558824,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.419941,1,0,0,0,0,0,0,0,1,0,0.333333,0,0,1,0,0,0,1,1,0,1,0,0,0.464286,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,0,0.294118,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.254209,1,0,0,0,0,0,0,1,0,0,0.666667,0,0,1,0,1,0,0,1,0,0,0,1,0.607143,0,0,1,0,0,1,0.333333,0,0,1,0,1,0,0,2
0,0,0,1,0.470588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.484483,0,0,0,0,1,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,1,0,0,0,1,0.285714,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1
0,0,0,1,0.294118,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.142236,0,0,1,0,0,0,0,0,0,1,0.666667,0,0,1,0,1,0,0,1,0,1,0,0,0.607143,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0.470588,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.368548,1,0,0,0,0,0,0,1,0,0,0.333333,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.285714,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0.117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.154561,0,0,0,1,0,0,0,0,1,0,0.333333,1,0,0,0,1,0,0,1,1,0,0,0,0.75,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0.382353,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.274238,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0.333333,0,0,1,0,0.160714,0,0,1,0,1,0,0.333333,0,0,0,1,0,0,0,2
0,1,0,0,0.117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0575,1,0,0,0,0,0,1,0,0,0,0.666667,0,1,0,0,1,0,0,0,0,0,1,0,0.107143,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2
1,0,0,0,0.647059,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.223286,1,0,0,0,0,0,1,0,0,0,0.666667,0,1,0,0,1,0,0,1,0,1,0,0,0.089286,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2
0,1,0,0,0.117647,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.072466,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.053571,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0.294118,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.052217,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0.732143,0,0,1,0,1,0,0.333333,0,1,0,0,0,0,0,2
1,0,0,0,0.161765,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.063442,1,0,0,0,0,0,0,1,0,0,0.333333,0,1,0,0,1,0,0,1,0,0,1,0,0.160714,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0.294118,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.056784,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0.333333,0,0,1,0,0.232143,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2
0,0,0,1,0.294118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.119621,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0.607143,0,0,1,0,1,0,0.333333,0,0,1,0,0,0,0,1
1,0,0,0,0.382353,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.430395,0,0,0,0,1,0,1,0,0,0,0.333333,0,0,1,0,1,0,0,0.666667,0,0,1,0,0.107143,1,0,0,0,1,0,0.666667,0,0,1,0,0,0,0,1
0,1,0,0,0.294118,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.678387,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0.333333,0,0,0,1,0.446429,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2
0,0,0,1,0.294118,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.174975,0,0,1,0,0,0,0,0,0,1,0.666667,0,0,1,0,1,0,0,0.333333,0,0,1,0,0.214286,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
0,0,0,1,0.073529,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.103665,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.517857,0,0,1,0,1,0,0.666667,0,0,1,0,0,1,0,1
