@relation ecoli-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute mcg numeric
@attribute gvh numeric
@attribute lip numeric
@attribute aac numeric
@attribute alm1 numeric
@attribute alm2 numeric
@attribute class {1,2,3,4,5}

@data
0.550562,0.154762,0,0.636364,0.216495,0.353535,1
0.078652,0.285714,0,0.613636,0.329897,0.444444,1
0.629213,0.285714,0,0.556818,0.350515,0.464646,1
0.662921,0.392857,0,0.590909,0.43299,0.363636,1
0.258427,0.190476,0,0.625,0.226804,0.353535,1
0.752809,0.27381,0,0.409091,0.360825,0.464646,1
0.325843,0.142857,0,0.5,0.206186,0.343434,1
0.235955,0.214286,0,0.579545,0.257732,0.393939,1
0.224719,0.333333,0,0.522727,0.494845,0.575758,1
0.47191,0.285714,0,0.636364,0.154639,0.30303,1
0.47191,0.095238,0,0.647727,0.247423,0.373737,1
0.280899,0.380952,0,0.5,0.14433,0.292929,1
0.438202,0.190476,0,0.522727,0.216495,0.353535,1
0.573034,0.404762,0,0.522727,0.298969,0.353535,1
0.247191,0.321429,0,0.545455,0.134021,0.282828,1
0.280899,0.285714,0,0.522727,0.42268,0.525253,1
0.382022,0.345238,0,0.431818,0.216495,0.353535,1
0.494382,0.130952,0,0.625,0.505155,0.585859,1
0.258427,0.285714,0,0.443182,0.257732,0.383838,1
0.460674,0.488095,0,0.443182,0.185567,0.323232,1
0.449438,0.345238,0,0.431818,0.195876,0,1
0.348315,0.083333,0,0.829545,0.020619,0.141414,1
0.573034,0.452381,0,0.465909,0.319588,0.434343,1
0.337079,0,0,0.636364,0.082474,0.232323,1
0.404494,0.27381,0,0.545455,0.195876,0.232323,1
0.325843,0.25,0,0.545455,0.42268,0.525253,1
0.280899,0.285714,0,0.534091,0.309278,0.424242,1
0.235955,0.416667,0,0.568182,0.298969,0.414141,1
0.483146,0.25,0,0.602273,0.329897,0.444444,1
0.483146,0.27381,0,0.534091,0.28866,0.414141,1
0.595506,0.261905,0,0.5,0.237113,0.363636,1
0.382022,0.202381,0,0.431818,0.329897,0.444444,1
0.629213,0.416667,0,0.386364,0.350515,0.464646,1
0.449438,0.154762,0,0.477273,0.329897,0.444444,1
0.269663,0.22619,0,0.352273,0.164948,0.313131,1
0.404494,0.452381,0,0.465909,0.360825,0.464646,1
0.325843,0.428571,0,0.477273,0.268041,0.393939,1
0.730337,0.369048,0,0.670455,0.278351,0.40404,1
0.359551,0.309524,0,0.397727,0.257732,0.383838,1
0.426966,0.357143,0,0.545455,0.195876,0.292929,1
0.370787,0.345238,0,0.590909,0.298969,0.414141,1
0.337079,0.25,0,0.670455,0.391753,0.494949,1
0.449438,0.404762,0,0.511364,0.371134,0.474747,1
0.314607,0.261905,0,0.568182,0.309278,0.424242,1
0.685393,0.345238,0,0.545455,0.329897,0.414141,1
0.191011,0.261905,0,0.511364,0.402062,0.505051,1
0.494382,0.22619,0,0.625,0.536082,0.616162,1
0.483146,0.285714,0,0.443182,0.257732,0.393939,1
0.47191,0.22619,0,0.659091,0.123711,0.272727,1
0.258427,0.202381,0,0.488636,0.309278,0.434343,1
0.41573,0.428571,0,0.477273,0.402062,0.363636,1
0.325843,0.166667,0,0.511364,0,0.171717,1
0.247191,0.238095,0,0.397727,0.371134,0.474747,1
0.258427,0.5,0,0.420455,0.515464,0.59596,1
0.52809,0.369048,0,0.25,0.134021,0.262626,1
0.606742,0.369048,0,0.318182,0.309278,0.424242,1
0.573034,0.25,0,0.397727,0.340206,0.454545,1
0.449438,0.22619,0,0.511364,0.309278,0.424242,1
0.494382,0.214286,0,0.340909,0.309278,0.434343,1
0.47191,0.261905,0,0.613636,0.319588,0.434343,1
0.494382,0.47619,0,0.568182,0.443299,0.545455,1
0.58427,0.238095,0,0.465909,0.257732,0.383838,1
0.404494,0.297619,0,0.545455,0.453608,0.545455,1
0.202247,0.166667,0,0.522727,0.216495,0.353535,1
0.52809,0.154762,0,0.579545,0.309278,0.434343,1
0.269663,0.321429,0,0.613636,0.505155,0.59596,1
0.280899,0.25,0,0.465909,0.309278,0.424242,1
0.58427,0.488095,0,0.477273,0.453608,0.545455,1
0.280899,0.25,0,0.488636,0.237113,0.363636,1
0.393258,0.380952,0,0.636364,0.381443,0.484848,1
0.292135,0.119048,0,0.386364,0.226804,0.353535,1
0.494382,0.416667,0,0.534091,0.237113,0.363636,1
0.41573,0.404762,0,0.477273,0.340206,0.454545,1
0.494382,0.309524,0,0.477273,0.226804,0.20202,1
0.269663,0.321429,0,0.420455,0.257732,0.383838,1
0.47191,0.166667,0,0.545455,0.237113,0.363636,1
0.539326,0.309524,0,0.511364,0.226804,0.353535,1
