@relation 'Glass-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L4,6'

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute Type {1,2,3,4,5}

@data
0.297629,0.309774,0.77951,0.258567,0.575,0.10306,0.310409,0,0,1
0.231782,0.215038,0.783964,0.330218,0.55,0.091787,0.288104,0,0,3
0.297629,0.372932,0.775056,0.34891,0.505357,0.095008,0.27881,0,0,1
1,0.23609,0,0.221184,0.0625,0.019324,1,0,0.470588,2
0.23705,0.303759,0.634744,0.358255,0.617857,0.091787,0.312268,0.034921,0.431373,2
0.291484,0.437594,0.812918,0.11215,0.569643,0.009662,0.325279,0,0,3
0.316945,0.362406,0.632517,0.308411,0.542857,0.088567,0.33829,0,0,1
0.188762,0.512782,0,0.744548,0.639286,0.012882,0.33829,0.193651,0.098039,5
0.295874,0.369925,0.868597,0.314642,0.45,0.088567,0.27974,0,0.54902,2
0.223881,0.395489,0.797327,0.373832,0.519643,0.072464,0.258364,0,0,2
0.27568,0.221053,0.723831,0.271028,0.667857,0.099839,0.322491,0,0.470588,2
0.486392,0.372932,0.839644,0.155763,0.389286,0.020934,0.42658,0,0,1
0.441615,0.496241,0.837416,0.090343,0.353571,0.017713,0.392193,0,0,3
0.24144,0.362406,0.768374,0.457944,0.476786,0.096618,0.274164,0,0.333333,3
0.259877,0.413534,0.775056,0.442368,0.483929,0.099839,0.237918,0,0,2
0.265145,0.604511,0,0.53271,0.573214,0,0.288104,0.504762,0.156863,5
0.225637,0.297744,0.741648,0.373832,0.619643,0.10789,0.261152,0,0,2
0.385865,0.381955,0,0.457944,0.575,0.075684,0.547398,0,0,4
0.305531,0.335338,0.659243,0.35514,0.555357,0.096618,0.312268,0.044444,0,2
0.455224,0.348872,0.812918,0.180685,0.430357,0.030596,0.410781,0,0.333333,1
0.597015,0.108271,0,0.495327,0.425,0.130435,0.725836,0,0.666667,2
0.318701,0.330827,0.832962,0.255452,0.441071,0.10306,0.328067,0,0.431373,2
0.280509,0.4,0.815145,0.280374,0.532143,0.091787,0.263941,0,0.215686,1
0.41396,0.318797,0.358575,0.58567,0.423214,0.122383,0.39684,0.07619,1,4
0.199298,0.377444,0.777283,0.367601,0.614286,0.061192,0.241636,0,0,2
0.208516,0.314286,0.783964,0.501558,0.544643,0.111111,0.236059,0,0,2
0.249342,0.57594,0,0.52648,0.621429,0,0.287175,0.498413,0.137255,5
0.251097,0.37594,0.788419,0.370717,0.541071,0.090177,0.248141,0,0,2
0.217296,0.390977,0.786192,0.327103,0.510714,0.090177,0.269517,0,0,3
0.245391,0.321805,0.792873,0.420561,0.594643,0.10467,0.237918,0,0,2
0.31475,0.390977,0.743875,0.389408,0.416071,0.090177,0.330855,0,0,3
0.23266,0.407519,0.804009,0.389408,0.460714,0.10628,0.241636,0,0,2
0.280948,0.341353,0.801782,0.333333,0.567857,0.091787,0.276022,0,0.215686,1
0.200176,0.299248,0.770601,0.395639,0.605357,0.10789,0.247212,0,0.470588,1
