@relation monk3-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute class {1,2}

@data
0,0,0,0,0,1,1
0,0,0,0,0.333333,0,1
0,0,0,0,0.333333,1,1
0,0,0,0,0.666667,0,2
0,0,0,0,1,0,2
0,0,0,0.5,0,0,1
0,0,0,0.5,0.333333,1,1
0,0,0,0.5,1,1,2
0,0,1,0,0.333333,1,1
0,0,1,0,1,1,2
0,0,1,0.5,0.333333,1,1
0,0,1,0.5,1,0,2
0,0,1,0.5,1,1,2
0,0,1,1,0,0,1
0,0,1,1,0,1,1
0,0,1,1,0.666667,0,1
0,0,1,1,0.666667,1,1
0,0.5,0,0,0.666667,0,1
0,0.5,0,0.5,0.333333,0,1
0,0.5,0,0.5,0.333333,1,1
0,0.5,0,0.5,0.666667,0,2
0,0.5,0,1,0,0,1
0,0.5,0,1,0,1,1
0,0.5,0,1,0.333333,0,1
0,0.5,0,1,0.333333,1,1
0,0.5,0,1,0.666667,1,1
0,0.5,0,1,1,0,2
0,0.5,1,0,0.666667,0,1
0,0.5,1,0,1,1,2
0,0.5,1,0.5,0,0,1
0,0.5,1,0.5,0.333333,0,1
0,0.5,1,0.5,0.333333,1,1
0,0.5,1,1,0,0,1
0,0.5,1,1,0.333333,0,1
0,0.5,1,1,0.333333,1,1
0,1,0,0,0.333333,0,2
0,1,0,0,1,0,2
0,1,0,0.5,0.666667,1,2
0,1,0,0.5,1,0,2
0,1,0,1,0,0,2
0,1,0,1,0.666667,0,2
0,1,1,0,0,0,2
0,1,1,0,0,1,2
0,1,1,0,0.333333,0,2
0,1,1,0,1,1,2
0,1,1,0.5,0.666667,1,2
0,1,1,0.5,1,1,2
0,1,1,1,1,0,2
0.5,0,0,0,0,0,1
0.5,0,0,0,0,1,1
0.5,0,0,0,1,0,2
0.5,0,0,0,1,1,2
0.5,0,0,0.5,0,0,1
0.5,0,0,0.5,0,1,1
0.5,0,0,1,0.333333,1,1
0.5,0,0,1,0.666667,1,1
0.5,0,0,1,1,0,2
0.5,0,1,0,0.333333,1,1
0.5,0,1,0.5,1,0,2
0.5,0,1,1,0,1,1
0.5,0.5,0,0,0.666667,1,1
0.5,0.5,0,0,1,1,2
0.5,0.5,0,0.5,0,1,1
0.5,0.5,0,0.5,0.333333,0,2
0.5,0.5,0,1,0,0,1
0.5,0.5,0,1,0.333333,1,1
0.5,0.5,0,1,0.666667,0,2
0.5,0.5,0,1,0.666667,1,2
0.5,0.5,0,1,1,1,2
0.5,0.5,1,0,0.333333,1,1
0.5,0.5,1,0.5,0,1,1
0.5,0.5,1,0.5,0.666667,0,1
0.5,0.5,1,0.5,0.666667,1,1
0.5,0.5,1,1,1,0,2
0.5,1,0,0,0.666667,0,1
0.5,1,0,0.5,0,0,2
0.5,1,0,0.5,0.333333,0,2
0.5,1,0,0.5,0.333333,1,2
0.5,1,0,0.5,0.666667,1,2
0.5,1,0,1,0.666667,0,2
0.5,1,1,0,0,1,2
0.5,1,1,0,0.333333,1,2
0.5,1,1,0,1,0,2
0.5,1,1,0.5,0.666667,0,2
0.5,1,1,0.5,1,1,2
0.5,1,1,1,0,0,2
0.5,1,1,1,0.333333,0,2
0.5,1,1,1,1,1,2
1,0,0,0,0,0,1
1,0,0,0,0.333333,0,1
1,0,0,0,0.666667,0,1
1,0,0,0.5,1,1,2
1,0,0,1,0,1,1
1,0,0,1,1,1,2
1,0,1,0,0.333333,0,1
1,0,1,0.5,0.666667,1,1
1,0,1,0.5,1,1,2
1,0,1,1,0,0,1
1,0.5,0,0,0.333333,1,1
1,0.5,0,0,1,0,2
1,0.5,0,0.5,0.666667,0,1
1,0.5,0,1,0,1,1
1,0.5,1,0,0.333333,1,1
1,0.5,1,0,0.666667,1,1
1,0.5,1,0.5,0,1,1
1,0.5,1,1,0,0,1
1,0.5,1,1,0.666667,1,1
1,0.5,1,1,1,0,2
1,1,0,0,0.666667,1,1
1,1,0,0,1,0,1
1,1,0,0.5,1,1,2
1,1,0,1,0,0,2
1,1,0,1,0.333333,0,2
1,1,0,1,0.333333,1,2
1,1,0,1,1,0,2
1,1,1,0,0,0,2
1,1,1,0,0,1,2
1,1,1,0.5,0.333333,1,2
1,1,1,0.5,0.666667,1,2
1,1,1,1,0,0,2
1,1,1,1,0.666667,1,2
1,1,1,1,1,1,2
