@relation movement

@attribute MDS0 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute MDS7 numeric
@attribute MDS8 numeric
@attribute MDS9 numeric
@attribute MDS10 numeric
@attribute MDS11 numeric
@attribute MDS12 numeric
@attribute MDS13 numeric
@attribute MDS14 numeric
@attribute MDS15 numeric
@attribute MDS16 numeric
@attribute MDS17 numeric
@attribute MDS18 numeric
@attribute MDS19 numeric
@attribute MDS20 numeric
@attribute MDS21 numeric
@attribute MDS22 numeric
@attribute MDS23 numeric
@attribute MDS24 numeric
@attribute MDS25 numeric
@attribute MDS26 numeric
@attribute MDS27 numeric
@attribute MDS28 numeric
@attribute MDS29 numeric
@attribute MDS30 numeric
@attribute MDS31 numeric
@attribute MDS32 numeric
@attribute MDS33 numeric
@attribute MDS34 numeric
@attribute MDS35 numeric
@attribute MDS36 numeric
@attribute MDS37 numeric
@attribute MDS38 numeric
@attribute MDS39 numeric
@attribute MDS40 numeric
@attribute MDS41 numeric
@attribute MDS42 numeric
@attribute MDS43 numeric
@attribute MDS44 numeric
@attribute MDS45 numeric
@attribute MDS46 numeric
@attribute MDS47 numeric
@attribute MDS48 numeric
@attribute MDS49 numeric
@attribute MDS50 numeric
@attribute MDS51 numeric
@attribute MDS52 numeric
@attribute MDS53 numeric
@attribute MDS54 numeric
@attribute MDS55 numeric
@attribute MDS56 numeric
@attribute MDS57 numeric
@attribute MDS58 numeric
@attribute MDS59 numeric
@attribute MDS60 numeric
@attribute MDS61 numeric
@attribute MDS62 numeric
@attribute MDS63 numeric
@attribute MDS64 numeric
@attribute MDS65 numeric
@attribute MDS66 numeric
@attribute MDS67 numeric
@attribute MDS68 numeric
@attribute MDS69 numeric
@attribute MDS70 numeric
@attribute MDS71 numeric
@attribute MDS72 numeric
@attribute MDS73 numeric
@attribute MDS74 numeric
@attribute MDS75 numeric
@attribute MDS76 numeric
@attribute MDS77 numeric
@attribute MDS78 numeric
@attribute MDS79 numeric
@attribute MDS80 numeric
@attribute MDS81 numeric
@attribute MDS82 numeric
@attribute MDS83 numeric
@attribute MDS84 numeric
@attribute MDS85 numeric
@attribute MDS86 numeric
@attribute MDS87 numeric
@attribute MDS88 numeric
@attribute MDS89 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
0.839088,0.316608,0.842109,0.309366,0.842468,0.311312,0.837156,0.314464,0.813367,0.285722,0.762793,0.25,0.687644,0.216565,0.581398,0.211539,0.457748,0.253202,0.353078,0.341858,0.267299,0.452769,0.217595,0.626229,0.250001,0.698977,0.269637,0.983097,0.273712,0.97464,0.278862,0.854162,0.282408,0.674187,0.285353,0.518385,0.330759,0.403341,0.402666,0.33876,0.535617,0.277776,0.662465,0.238251,0.753054,0.251678,0.815537,0.270702,0.850352,0.282486,0.862063,0.286888,0.840542,0.325813,0.785875,0.261004,0.683372,0.230533,0.574115,0.262347,0.440184,0.332305,0.329354,0.478137,0.248242,0.646074,0.225421,0.784315,0.266198,0.890493,0.288633,1,0.327626,1,0.330546,0.835072,0.314469,0.738092,0.303162,0.705176,0.311162,0.579755,0.371546,0.48796,0.468435,0.41691,0.560395,0.351204,0.636189,0.327175,1
0.698856,0.16928,0.704802,0.16875,0.703197,0.169812,0.701835,0.172963,0.698162,0.16826,0.676742,0.155056,0.643356,0.143317,0.588371,0.137823,0.511742,0.134625,0.421795,0.159743,0.326971,0.201956,0.268517,0.268845,0.256463,0.33418,0.218683,0.569011,0.183193,0.692952,0.156866,0.776788,0.115746,0.841929,0.047146,0.879589,0.012932,0.856664,0,0.775248,0.050131,0.653599,0.158682,0.5,0.254284,0.375843,0.349511,0.264332,0.451304,0.180794,0.551721,0.144813,0.644647,0.16129,0.731208,0.18554,0.774488,0.224302,0.814112,0.277773,0.808612,0.289225,0.782822,0.329444,0.733024,0.331465,0.67625,0.299725,0.601852,0.250719,0.500004,0.197535,0.441111,0.201803,0.374481,0.256545,0.303988,0.354494,0.227365,0.528882,0.150217,0.659502,0.129512,0.762047,0.150716,0.810498,0.162375,0.790881,0.167318,0.781002,1
0.749427,0.119119,0.755142,0.118746,0.753421,0.119493,0.75229,0.122645,0.751149,0.123812,0.73954,0.123421,0.687644,0.114645,0.579077,0.118591,0.457748,0.150645,0.367302,0.242816,0.293557,0.345275,0.243062,0.508201,0.265088,0.584189,0.271766,0.847888,0.271551,0.907041,0.265796,0.904755,0.266204,0.799997,0.255577,0.59197,0.317841,0.410008,0.413337,0.3127,0.561999,0.245108,0.705283,0.214766,0.811732,0.214769,0.890778,0.222935,0.919245,0.214683,0.898847,0.202188,0.835996,0.212907,0.735765,0.188678,0.58997,0.180685,0.475289,0.2716,0.377983,0.38461,0.300715,0.562686,0.25995,0.72472,0.232612,0.812328,0.249994,0.855908,0.252267,0.861107,0.299783,0.75,0.33682,0.544502,0.39203,0.425922,0.452635,0.382974,0.510728,0.303686,0.590233,0.271087,0.676173,0.279878,0.740598,0.297581,0.780154,0.308709,1
0.563223,0.238238,0.565213,0.237492,0.561647,0.238986,0.557336,0.242138,0.555296,0.244442,0.541865,0.227853,0.503489,0.194263,0.427908,0.176287,0.328645,0.195519,0.225115,0.255597,0.138419,0.351791,0.085652,0.442622,0.090521,0.512754,0.095536,0.802814,0.090518,0.898584,0.082788,0.883926,0.048611,0.787093,0,0.648823,0,0.519994,0.026663,0.413678,0.121378,0.323531,0.254398,0.224841,0.391193,0.161073,0.509705,0.130577,0.610457,0.138412,0.678154,0.174864,0.710703,0.229031,0.715262,0.213837,0.674256,0.186916,0.602349,0.188267,0.48325,0.199995,0.357992,0.303209,0.255276,0.407308,0.179858,0.48459,0.159722,0.524499,0.12955,0.561721,0.154172,0.608429,0.152721,0.602087,0.144649,0.600527,0.147366,0.617029,0.160945,0.549078,0.222934,0.484941,0.319758,0.399416,0.407925,0.313668,0.488331,0.269134,1
0.689657,0.31975,0.693362,0.321867,0.694061,0.323892,0.692657,0.323905,0.691241,0.320639,0.672089,0.303795,0.617711,0.296182,0.537212,0.342952,0.453052,0.432688,0.414689,0.533552,0.408112,0.680785,0.439821,0.826223,0.562498,1,0.509553,0.957749,0.480602,0.833796,0.481482,0.681542,0.497694,0.506445,0.516132,0.341135,0.571064,0.216675,0.669327,0.159614,0.817946,0.179744,0.942062,0.278522,0.995108,0.432887,0.990287,0.464965,0.971497,0.378527,0.947124,0.295079,0.920271,0.26451,0.870161,0.172961,0.765373,0.146422,0.651762,0.206787,0.543064,0.298463,0.472559,0.45189,0.430911,0.564612,0.419661,0.641453,0.428238,0.737761,0.445448,0.88888,0.48608,0.948798,0.554393,1,0.545071,1,0.48631,0.96049,0.448499,0.911043,0.418262,0.768072,0.443996,0.644322,0.477234,0.501338,0.529178,0.382583,1
0.882766,0.285271,0.890153,0.309366,0.879001,0.320754,0.880734,0.314464,0.880184,0.371436,0.841858,0.490499,0.755239,0.595542,0.632557,0.682691,0.516426,0.727566,0.421795,0.712466,0.362766,0.667755,0.363432,0.590167,0.415954,0.423467,0.452233,0.464784,0.478452,0.391551,0.492374,0.339286,0.486109,0.341936,0.456581,0.41472,0.472874,0.506674,0.522665,0.586322,0.635879,0.620917,0.770774,0.607376,0.882633,0.573825,0.95145,0.471335,0.973868,0.316387,0.96551,0.213118,0.965836,0.187098,0.979497,0.229569,0.968109,0.3458,0.948239,0.475307,0.866026,0.563072,0.754184,0.670547,0.620616,0.744391,0.498797,0.745096,0.437501,0.651298,0.411362,0.496908,0.451816,0.33735,0.483268,0.251309,0.48638,0.293648,0.473685,0.458974,0.478543,0.576681,0.545646,0.662661,0.649692,0.690961,0.752484,0.646109,0.836572,0.591025,1
0.742533,0.721012,0.743701,0.718754,0.737439,0.735841,0.738535,0.729565,0.74194,0.701592,0.737207,0.699363,0.710951,0.601912,0.648836,0.525636,0.586852,0.493596,0.504735,0.514382,0.400955,0.540716,0.310188,0.577052,0.31466,0.602042,0.26327,0.86479,0.22414,0.954926,0.211326,0.964283,0.206018,0.893546,0.178655,0.725745,0.2274,0.643329,0.258665,0.589573,0.403694,0.519609,0.569261,0.489939,0.677262,0.453023,0.759709,0.480897,0.814727,0.51977,0.852875,0.565573,0.872434,0.696777,0.867877,0.65094,0.81321,0.576333,0.736464,0.46296,0.626785,0.492304,0.51313,0.568517,0.377056,0.629218,0.294961,0.694672,0.268519,0.700288,0.231822,0.799387,0.241973,0.834331,0.242678,0.753919,0.243183,0.740744,0.242102,0.778117,0.268238,0.708586,0.322722,0.68374,0.401225,0.620997,0.491096,0.552274,0.556416,0.543539,1
0.813796,0.617562,0.816933,0.615628,0.81964,0.610058,0.79129,0.534594,0.73272,0.40952,0.651169,0.348102,0.529134,0.401279,0.383723,0.474364,0.309858,0.551279,0.246444,0.651765,0.22911,0.837135,0.247693,0.881958,0.303885,0.72449,0.324838,0.760563,0.368533,0.667604,0.398695,0.58631,0.465285,0.499993,0.540943,0.448153,0.630499,0.44667,0.687995,0.436474,0.754611,0.513073,0.803527,0.550332,0.814184,0.718125,0.832528,0.691078,0.826602,0.564971,0.809198,0.431689,0.772213,0.48387,0.717535,0.427675,0.63325,0.42368,0.536465,0.425933,0.423437,0.467687,0.326972,0.568517,0.288052,0.665732,0.251804,0.728288,0.256947,0.832851,0.265909,0.935187,0.295499,0.822295,0.315902,0.599474,0.348014,0.53703,0.372625,0.568393,0.439912,0.506129,0.532902,0.524095,0.617113,0.562683,0.667327,0.530825,0.710118,0.60158,1
0.81609,0.658311,0.816933,0.656249,0.812782,0.638369,0.793579,0.490565,0.739629,0.355555,0.662795,0.329114,0.552441,0.30573,0.423255,0.349362,0.32629,0.407059,0.267773,0.479242,0.243436,0.560262,0.245372,0.619671,0.280174,0.579086,0.307857,0.870425,0.303886,0.859156,0.311549,0.675589,0.347225,0.55161,0.401981,0.438126,0.501303,0.390006,0.591998,0.426708,0.683377,0.441172,0.755668,0.442956,0.831299,0.536916,0.905334,0.582803,0.945365,0.581922,0.942524,0.554643,0.90661,0.587104,0.83827,0.459124,0.728924,0.380064,0.623527,0.425933,0.499997,0.42462,0.38425,0.510204,0.297423,0.620785,0.242208,0.675069,0.189809,0.70894,0.131818,0.799387,0.160604,0.789153,0.188284,0.683239,0.24948,0.555556,0.322101,0.580552,0.358369,0.521475,0.443739,0.503015,0.558042,0.518953,0.635652,0.525463,0.678987,0.543539,1
0.777012,0.592481,0.780317,0.596876,0.780829,0.591189,0.766057,0.559753,0.73733,0.447619,0.669769,0.395568,0.587414,0.423567,0.472094,0.429489,0.354458,0.464741,0.291467,0.552723,0.226729,0.599353,0.201391,0.767216,0.232764,0.688773,0.259022,0.853522,0.271551,0.794368,0.318082,0.678572,0.363429,0.535473,0.444175,0.454842,0.524547,0.469998,0.61334,0.485344,0.696568,0.47713,0.775814,0.583891,0.821515,0.684565,0.83495,0.691078,0.828985,0.615823,0.809198,0.543713,0.763098,0.506459,0.692486,0.437103,0.567194,0.414341,0.428236,0.447533,0.287076,0.479995,0.183766,0.609324,0.140519,0.775286,0.098316,0.887958,0.11342,0.948135,0.120456,0.935187,0.188435,0.813251,0.236404,0.594238,0.289312,0.49471,0.370525,0.498485,0.454934,0.506129,0.552012,0.527113,0.625252,0.533526,0.669313,0.546912,0.71401,0.606858,1
