@relation ringnorm-weka.filters.unsupervised.attribute.AddExpression-Ea21+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute class {1,2}

@data
0.562879,0.605551,0.537704,0.570056,0.60389,0.507101,0.456387,0.691845,0.5635,0.559937,0.445883,0.596205,0.707495,0.54702,0.448389,0.594332,0.577537,0.529655,0.614045,0.435236,2
0.412956,0.58357,0.638978,0.631299,0.459449,0.449988,0.726707,0.492216,0.55588,0.475197,0.534572,0.817037,0.51699,0.324324,0.499905,0.799772,0.607195,0.499815,0.523488,0.632114,1
0.503012,0.173882,0.470208,0.950625,0.385785,0.466754,0.537479,0.940713,0.485434,0.623728,0.553078,0.61289,0.383002,0.511318,0.299083,0.368451,0.4477,0.493562,0.707019,0.385121,1
0.474267,0.349933,0.306312,0.53101,0.623224,0.466571,0.570498,0.607685,0.618303,0.802641,0.301521,0.629703,0.690115,0.439745,0.526974,0.515778,0.536857,0.659919,0.529867,0.403059,1
0.622861,0.366723,0.311004,0.580276,0.576805,0.547323,0.600919,0.278463,0.740962,0.555261,0.558761,0.419959,0.489862,0.555796,0.372047,0.503993,0.346326,0.64876,0.903795,0.728922,1
0.662271,0.723717,0.503281,0.509654,0.536007,0.47064,0.594833,0.468287,0.638793,0.54649,0.594108,0.638437,0.571528,0.571692,0.605498,0.513054,0.558759,0.592589,0.571895,0.526789,2
0.472748,0.386534,0.795797,0.4598,0.208202,0.648669,0.681948,0.570552,0.570998,0.479603,0.654758,0.613313,0.376934,0.628619,0.408788,0.611201,0.421052,0.375351,0.455087,0.477267,1
0.447854,0.56415,0.558193,0.482593,0.633673,0.634431,0.72569,0.52777,0.527415,0.482416,0.47648,0.563933,0.707813,0.397832,0.632418,0.493327,0.432763,0.507286,0.431659,0.584299,2
0.575489,0.581017,0.474085,0.209891,0.335847,0.755011,0.479678,0.393418,0.355645,0.465481,0.471391,0.485214,0.501137,0.55585,0.60961,0.618195,0.479822,0.490947,0.662181,0.363433,1
0.599053,0.525046,0.608322,0.603628,0.495187,0.382291,0.687087,0.525459,0.555423,0.500055,0.494441,0.485369,0.471283,0.434776,0.411071,0.557016,0.588067,0.507994,0.568409,0.487525,2
0.497915,0.52085,0.639799,0.484089,0.590009,0.654813,0.581534,0.566247,0.561885,0.496704,0.464529,0.515928,0.562927,0.59646,0.629475,0.552845,0.463062,0.630481,0.618962,0.525814,2
0.591176,0.49658,0.494197,0.543241,0.647524,0.386367,0.843039,0.581527,0.549486,0.396359,0.697173,0.52137,0.311603,0.443566,0.584919,0.549793,0.485849,0.452372,0.452391,0.67227,1
0.450787,0.646476,0.625657,0.433552,0.464524,0.543152,0.445678,0.373953,0.459716,0.390918,0.470318,0.536596,0.320856,0.60512,0.451509,0.577513,0.669535,0.47247,0.313653,0.48179,1
0.277186,0.636876,0.567422,0.644321,0.521304,0.505289,0.530843,0.561753,0.481323,0.377355,0.267346,0.731043,0.449748,0.551547,0.389296,0.238486,0.488522,0.728314,0.96441,0.4232,1
0.675922,0.451836,0.640731,0.521515,0.660998,0.438979,0.476754,0.541283,0.507034,0.654261,0.50039,0.46155,0.584596,0.495619,0.637699,0.718993,0.368526,0.63644,0.626847,0.380905,2
0.690606,0.387345,0.469276,0.485903,0.394161,0.508072,0.480409,0.6073,0.454481,0.628989,0.463024,0.441727,0.515724,0.383504,0.519566,0.377264,0.496723,0.765115,0.530816,0.378849,1
0.459667,0.509977,0.602033,0.250076,0.401112,0.690039,0.221599,0.411758,0.468134,0.392139,0.337715,0.39638,0.651031,0.423013,0.791953,0.364473,0.803598,0.534587,0.515611,0.32941,1
0.61844,0.544679,0.690664,0.387269,0.153101,0.503959,0.759754,0.551314,0.254219,0.463998,0.689346,0.61406,0.61771,0.482071,0.306959,0.521817,0.603193,0.324093,0.672573,0.63311,1
0.621683,0.522315,0.478367,0.550261,0.538457,0.402,0.542144,0.599089,0.614629,0.373452,0.704228,0.455889,0.381187,0.610401,0.759481,0.370084,0.649637,0.581085,0.34904,0.429911,1
0.528179,0.592687,0.526208,0.485548,0.368952,0.531763,0.527215,0.728479,0.732298,0.228706,0.688267,0.695141,0.766929,0.574624,0.28042,0.525018,0.42876,0.563374,0.659154,0.644526,1
0.47527,0.573593,0.510567,0.622937,0.504821,0.558727,0.58145,0.405639,0.532289,0.519287,0.517804,0.605249,0.579855,0.572079,0.531507,0.647925,0.534123,0.561122,0.633549,0.519667,2
0.302474,0.699041,0.61772,0.287793,0.370988,0.553423,0.391129,0.386356,0.418409,0.672087,0.605607,0.493088,0.69762,0.415737,0.3388,0.605946,0.512457,0.632433,0.426764,0.57926,1
