@relation sonar-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attribute_1 numeric
@attribute attribute_2 numeric
@attribute attribute_3 numeric
@attribute attribute_4 numeric
@attribute attribute_5 numeric
@attribute attribute_6 numeric
@attribute attribute_7 numeric
@attribute attribute_8 numeric
@attribute attribute_9 numeric
@attribute attribute_10 numeric
@attribute attribute_11 numeric
@attribute attribute_12 numeric
@attribute attribute_13 numeric
@attribute attribute_14 numeric
@attribute attribute_15 numeric
@attribute attribute_16 numeric
@attribute attribute_17 numeric
@attribute attribute_18 numeric
@attribute attribute_19 numeric
@attribute attribute_20 numeric
@attribute attribute_21 numeric
@attribute attribute_22 numeric
@attribute attribute_23 numeric
@attribute attribute_24 numeric
@attribute attribute_25 numeric
@attribute attribute_26 numeric
@attribute attribute_27 numeric
@attribute attribute_28 numeric
@attribute attribute_29 numeric
@attribute attribute_30 numeric
@attribute attribute_31 numeric
@attribute attribute_32 numeric
@attribute attribute_33 numeric
@attribute attribute_34 numeric
@attribute attribute_35 numeric
@attribute attribute_36 numeric
@attribute attribute_37 numeric
@attribute attribute_38 numeric
@attribute attribute_39 numeric
@attribute attribute_40 numeric
@attribute attribute_41 numeric
@attribute attribute_42 numeric
@attribute attribute_43 numeric
@attribute attribute_44 numeric
@attribute attribute_45 numeric
@attribute attribute_46 numeric
@attribute attribute_47 numeric
@attribute attribute_48 numeric
@attribute attribute_49 numeric
@attribute attribute_50 numeric
@attribute attribute_51 numeric
@attribute attribute_52 numeric
@attribute attribute_53 numeric
@attribute attribute_54 numeric
@attribute attribute_55 numeric
@attribute attribute_56 numeric
@attribute attribute_57 numeric
@attribute attribute_58 numeric
@attribute attribute_59 numeric
@attribute attribute_60 numeric
@attribute Class {1,2}

@data
0.136431,0.156451,0.135677,0.035426,0.224956,0.237571,0.407468,0.340904,0.449282,0.285714,0.187154,0.197245,0.295667,0.038362,0.063096,0.214838,0.285048,0.272623,0.482222,0.443172,0.555544,0.496064,0.398962,0.544104,0.663012,0.605133,0.695766,0.802388,0.674412,0.345584,0.089918,0.247135,0.487661,0.777424,0.850363,0.849496,0.693309,0.594156,0.481973,0.286166,0.017371,0.339194,0.365317,0.548312,0.375462,0.190071,0.19033,0.402216,0.193337,0.392727,0.231076,0.027104,0.155844,0.435673,0.14966,0.417949,0.502841,0.185355,0.245179,0.060046,1
0.323009,0.221603,0.272011,0.150024,0.283033,0.666756,0.574405,0.755458,0.483045,0.394537,0.656316,0.925557,0.969483,0.77591,0.745611,0.944637,1,0.883013,0.792131,0.766481,0.495363,0.391882,0.359648,0.376498,0.308402,0.251019,0.293098,0.255558,0.434152,0.15074,0.360327,0.285666,0.158248,0.225649,0.11077,0.413508,0.380932,0.070084,0.15486,0.201852,0.152171,0.064347,0.181172,0.20974,0.088285,0.027839,0.09598,0.222222,0.206461,0.073939,0.124502,0.108417,0.218182,0.111111,0.199546,0.479487,0.389205,0.105263,0.140496,0.08776,1
0.182153,0.246892,0.35611,0.243699,0.230028,0.585327,0.64881,0.819405,0.817859,0.869584,0.85694,1,0.771556,0.52047,0.646805,0.688887,0.66418,0.745558,0.887334,0.852205,0.786467,0.666394,0.395253,0.349247,0.521619,0.164335,0.482088,0.849012,0.597808,0.841696,0.875204,0.521344,0.145437,0.264653,0.410044,0.29869,0.63033,0.662681,0.527514,0.501307,0.496468,0.309035,0.275314,0.286266,0.300114,0.024136,0.244114,0.222821,0.065623,0.128485,0.032869,0.319544,0.418182,0.248538,0.394558,0.615385,0.889205,0.368421,0.258953,0.166282,1
0.062684,0.070724,0.199737,0.03495,0.034999,0.071486,0.288149,0.269239,0.077447,0.164593,0.083936,0.257327,0,0.205012,0.170328,0.200387,0.035644,0.198026,0.375131,0.354987,0.234928,0.354872,0.529088,0.47198,0.297131,0.486067,0.501628,0.230136,0.197443,0.313838,0.629755,0.779151,0.592565,0.348172,0.381508,0.295565,0.552919,0.876677,1,0.985839,0.667169,0.604396,0.415104,0.412523,0.610606,0.501097,0.480804,0.471998,0.343766,0.356364,0.24004,0.161198,0.080519,0.409357,0.179138,0.176923,0.133523,0.093822,0.107438,0.256351,1
0.550885,0.282898,0.153088,0.079886,0.13264,0.147003,0.318182,0.531863,0.516659,0.621479,0.54771,0.544549,0.586152,0.398268,0.451098,0.525544,0.720858,0.604468,0.161793,0.425942,0.383221,0.41642,0.547526,0.528634,0.299283,0.150237,0.684316,1,0.7222,0.437946,0.503651,0.56785,0.252441,0.081505,0.176741,0.413407,0.465012,0.294686,0.259013,0.251961,0.187493,0.291575,0.238847,0.108348,0.098379,0.072408,0.06465,0.025457,0.116103,0.055758,0.155378,0.03281,0.127273,0.277778,0.235828,0.028205,0.196023,0.102975,0.292011,0.203233,1
0.199853,0.191599,0.086071,0.02758,0.080396,0.238646,0.316017,0.392062,0.300607,0.418418,0.382674,0.588218,0.88657,0.817263,1,1,0.949021,0.898701,0.709026,0.477954,0.164629,0.385032,0.56448,0.269747,0.184734,0.535411,0.5156,0.356731,0.331473,0.474486,0.55564,0.49135,0.296335,0.210493,0.121101,0.279839,0.37787,0.392534,0.388256,0.346296,0.271801,0.316728,0.093495,0.159495,0.169463,0.149342,0.112821,0.147948,0.133266,0.098182,0.103586,0.052782,0.023377,0.081871,0.015873,0.217949,0.153409,0.05492,0.137741,0.12933,1
0.222714,0.407201,0.429041,0.32097,0.407558,0.432142,0.188853,0.296803,0.297349,0.4862,0.21225,0.061841,0.047359,0.358771,0.540475,0.537146,0.497461,0.403844,0.160951,0.382813,0.760013,0.972907,0.935361,0.545026,0.515164,0.650402,0.549638,0.529539,0.20627,0.163631,0.580817,0.664907,0.261262,0.176047,0.280863,0.512399,0.634376,0.405532,0.538478,0.655338,0.539317,0.283394,0.253071,0.225329,0.185385,0.081871,0.203549,0.313567,0.255931,0.192727,0.194223,0.275321,0.631169,0.353801,0.145125,0.34359,0.252841,0.320366,0.096419,0.224018,1
0.371681,0.232319,0.271682,0.062054,0.276693,0.220371,0.268939,0.123043,0.205834,0.389675,0.356302,0.417644,0.355981,0.363824,0.56124,0.428862,0.235002,0.08561,0.650326,0.936002,0.771501,0.524793,0.661863,0.915378,0.75543,0.803943,0.8815,0.597674,0.286425,0.0522,0.091117,0.024714,0.05387,0.40212,0.352153,0.097782,0.171004,0.368826,0.412924,0.264597,0.091604,0.261294,0.242985,0.185133,0.30509,0.323642,0.203731,0.076071,0.143867,0.215758,0.051793,0.104137,0.298701,0.102339,0.260771,0.238462,0.232955,0.100686,0.129477,0.108545,1
0.153392,0.158165,0.154074,0.099144,0.147096,0.131416,0.194805,0.009482,0.090182,0.196482,0.122926,0.207796,0.525263,0.34289,0.168723,0.099125,0,0.355429,0.726594,0.991973,0.979132,0.886515,0.651584,0.414609,0.321107,0.70988,0.959134,0.727563,0.478084,0.104506,0.275204,0.414738,0.282789,0.327822,0.325765,0.212298,0.230921,0.243631,0.137993,0.291394,0.254545,0.205617,0.274279,0.141587,0.140034,0.174301,0.264216,0.348607,0.392226,0.532121,0.060757,0.195435,0.319481,0.394737,0.117914,0.115385,0.176136,0.20595,0.15978,0.036952,1
0.109882,0.071582,0.109067,0.002853,0.030434,0.152916,0.276786,0.141566,0.131349,0.019734,0.072593,0.120164,0.155751,0.063628,0.016752,0.098819,0.256657,0.297039,0.28866,0.393515,0.585582,0.759943,0.915545,0.971212,0.91875,0.729596,0.820254,0.887505,0.726968,0.66933,0.582779,0.508987,0.275543,0.009963,0.002148,0.103629,0.135906,0.102735,0.034261,0.036492,0.03011,0.166667,0.206518,0.178305,0.052886,0.09435,0.157008,0.153639,0.046441,0.24,0.11753,0.116976,0.566234,0.494152,0.176871,0.164103,0.082386,0.073227,0.151515,0.078522,1
