@relation soybean-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M100.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L19

@attribute date=april numeric
@attribute date=may numeric
@attribute date=june numeric
@attribute date=july numeric
@attribute date=august numeric
@attribute date=september numeric
@attribute date=october numeric
@attribute plant-stand numeric
@attribute precip=lt-norm numeric
@attribute precip=norm numeric
@attribute precip=gt-norm numeric
@attribute temp=lt-norm numeric
@attribute temp=norm numeric
@attribute temp=gt-norm numeric
@attribute hail numeric
@attribute crop-hist=diff-lst-year numeric
@attribute crop-hist=same-lst-yr numeric
@attribute crop-hist=same-lst-two-yrs numeric
@attribute crop-hist=same-lst-sev-yrs numeric
@attribute area-damaged=scattered numeric
@attribute area-damaged=low-areas numeric
@attribute area-damaged=upper-areas numeric
@attribute area-damaged=whole-field numeric
@attribute severity=minor numeric
@attribute severity=pot-severe numeric
@attribute severity=severe numeric
@attribute seed-tmt=none numeric
@attribute seed-tmt=fungicide numeric
@attribute seed-tmt=other numeric
@attribute germination=90-100 numeric
@attribute germination=80-89 numeric
@attribute germination=lt-80 numeric
@attribute plant-growth numeric
@attribute leaves numeric
@attribute leafspots-halo=absent numeric
@attribute leafspots-halo=yellow-halos numeric
@attribute leafspots-halo=no-yellow-halos numeric
@attribute leafspots-marg=w-s-marg numeric
@attribute leafspots-marg=no-w-s-marg numeric
@attribute leafspots-marg=dna numeric
@attribute leafspot-size=lt-1/8 numeric
@attribute leafspot-size=gt-1/8 numeric
@attribute leafspot-size=dna numeric
@attribute leaf-shread numeric
@attribute leaf-malf numeric
@attribute leaf-mild=absent numeric
@attribute leaf-mild=upper-surf numeric
@attribute leaf-mild=lower-surf numeric
@attribute stem numeric
@attribute lodging numeric
@attribute stem-cankers=absent numeric
@attribute stem-cankers=below-soil numeric
@attribute stem-cankers=above-soil numeric
@attribute stem-cankers=above-sec-nde numeric
@attribute canker-lesion=dna numeric
@attribute canker-lesion=brown numeric
@attribute canker-lesion=dk-brown-blk numeric
@attribute canker-lesion=tan numeric
@attribute fruiting-bodies numeric
@attribute external-decay=absent numeric
@attribute external-decay=firm-and-dry numeric
@attribute external-decay=watery numeric
@attribute mycelium numeric
@attribute int-discolor=none numeric
@attribute int-discolor=brown numeric
@attribute int-discolor=black numeric
@attribute sclerotia numeric
@attribute fruit-pods=norm numeric
@attribute fruit-pods=diseased numeric
@attribute fruit-pods=few-present numeric
@attribute fruit-pods=dna numeric
@attribute fruit-spots=absent numeric
@attribute fruit-spots=colored numeric
@attribute fruit-spots=brown-w/blk-specks numeric
@attribute fruit-spots=dna numeric
@attribute seed numeric
@attribute mold-growth numeric
@attribute seed-discolor numeric
@attribute seed-size numeric
@attribute shriveling numeric
@attribute roots=norm numeric
@attribute roots=rotted numeric
@attribute roots=galls-cysts numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18}

@data
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
