@relation spambase

@attribute MDS0 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute MDS4 numeric
@attribute MDS5 numeric
@attribute MDS6 numeric
@attribute MDS7 numeric
@attribute MDS8 numeric
@attribute MDS9 numeric
@attribute MDS10 numeric
@attribute MDS11 numeric
@attribute MDS12 numeric
@attribute MDS13 numeric
@attribute MDS14 numeric
@attribute MDS15 numeric
@attribute MDS16 numeric
@attribute MDS17 numeric
@attribute MDS18 numeric
@attribute MDS19 numeric
@attribute MDS20 numeric
@attribute MDS21 numeric
@attribute MDS22 numeric
@attribute MDS23 numeric
@attribute MDS24 numeric
@attribute MDS25 numeric
@attribute MDS26 numeric
@attribute MDS27 numeric
@attribute MDS28 numeric
@attribute MDS29 numeric
@attribute MDS30 numeric
@attribute MDS31 numeric
@attribute MDS32 numeric
@attribute MDS33 numeric
@attribute MDS34 numeric
@attribute MDS35 numeric
@attribute MDS36 numeric
@attribute MDS37 numeric
@attribute MDS38 numeric
@attribute MDS39 numeric
@attribute MDS40 numeric
@attribute MDS41 numeric
@attribute MDS42 numeric
@attribute MDS43 numeric
@attribute MDS44 numeric
@attribute MDS45 numeric
@attribute MDS46 numeric
@attribute MDS47 numeric
@attribute MDS48 numeric
@attribute MDS49 numeric
@attribute MDS50 numeric
@attribute MDS51 numeric
@attribute MDS52 numeric
@attribute MDS53 numeric
@attribute MDS54 numeric
@attribute MDS55 numeric
@attribute MDS56 numeric
@attribute class {1,2}

@data
0,0.123494,0.4,0.020168,0.146667,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.189158,0.21978,0.108138,0.293255,0.069474,0.162866,0.035847,0.052394,0.058207,0.193867,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.056454,0.196185,0.053009,0.002502,0.006007,0.017487,1
0.046256,0.096386,0.365854,0.020168,0.126667,0.262295,0.192982,0.105836,0.232941,0.112922,0.604061,0.206459,0.362637,0.13155,0.334311,0.06,0.174267,0.15822,0.139155,0.058207,0.058358,0.05919,0.321348,0.124348,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.181664,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.126347,0.30238,0.043556,0.232329,0.055559,0.003735,0.010012,0.064836,1
0.013216,0.075301,0.417073,0.020168,0.025556,0.243852,0.189793,0.110781,0.383529,0.072759,0.690355,0.167243,0.246154,0.108138,0.219941,0.055789,0.172638,0.003708,0.020282,0.076834,0.149357,0.05919,0.035955,0.092174,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.281915,0.161501,0.075301,0.433594,0.051133,0.05191,0.050356,0.513089,0.111111,0.298168,0.127608,0.30238,0.040506,0.233133,0.05354,0.008008,0.048458,0.142551,1
0,0.075301,0.243902,0.020168,0.181111,0.204918,0.208931,0.161227,0.305882,0.094878,0.654822,0.151096,0.287912,0.108138,0.293255,0.068947,0.162866,0.123609,0.122817,0.058207,0.129575,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.12692,0.30238,0.03609,0.196185,0.053009,0.002303,0.003905,0.011995,1
0,0.075301,0.243902,0.020168,0.181111,0.204918,0.208931,0.161227,0.305882,0.094878,0.654822,0.151096,0.287912,0.108138,0.293255,0.068947,0.162866,0.123609,0.122817,0.058207,0.129575,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.126691,0.30238,0.036026,0.196185,0.053009,0.002303,0.003905,0.011995,1
0,0.075301,0.243902,0.020168,0.094444,0.204918,0.15949,0.084075,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.136781,0.30238,0.031737,0.196185,0.053009,0.001816,0.001402,0.003346,1
0,0.075301,0.243902,0.020168,0.102222,0.204918,0.15949,0.098912,0.232941,0.09546,0.984772,0.032295,0.21978,0.108138,0.293255,0.103158,0.162866,0.163164,0.160563,0.058207,0.162216,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.117404,0.30238,0.036948,0.207028,0.053009,0.000609,0.0003,0.007008,1
0,0.075301,0.243902,0.020168,0.097778,0.204918,0.15949,0.087043,0.232941,0.058207,0.497462,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.123609,0.056338,0.058207,0.098912,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.134831,0.30238,0.031737,0.196185,0.053009,0.001316,0.001001,0.00303,1
0.03304,0.075301,0.356098,0.020168,0.178889,0.204918,0.207337,0.098912,0.449412,0.102445,0.883249,0.221453,0.21978,0.108138,0.293255,0.052632,0.162866,0.142151,0.012958,0.147264,0.098912,0.05919,0.224719,0.1,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.066395,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.503906,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.142284,0.30238,0.037488,0.236948,0.054178,0.007938,0.044453,0.079293,1
0.013216,0.084337,0.431707,0.020168,0.132222,0.270492,0.220096,0.098912,0.247059,0.058207,0.497462,0.189158,0.274725,0.108138,0.328446,0.052632,0.162866,0.138443,0.037746,0.0617,0.169139,0.05919,0.267416,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.054296,0.048972,0.047506,0.513089,0.111111,0.307033,0.114653,0.30238,0.039489,0.21245,0.053009,0.000662,0.004205,0.047222,1
0,0.075301,0.243902,0.020168,0.111111,0.204918,0.3126,0.098912,0.232941,0.053551,0.984772,0.11534,0.21978,0.108138,0.293255,0.052632,0.162866,0.242274,0.16,0.058207,0.193867,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.521277,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.046415,0.196185,0.053009,0.000283,0.000501,0.001263,1
0,0.075301,0.304878,0.020168,0.153333,0.256148,0.199362,0.098912,0.232941,0.058207,0.558376,0.129181,0.246154,0.108138,0.293255,0.052632,0.162866,0.123609,0.009014,0.058207,0.175074,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.301714,0.116258,0.30238,0.0528,0.196185,0.053009,0.000221,0.001001,0.011553,1
0,0.127259,0.326829,0.020168,0.148889,0.204918,0.15949,0.098912,0.232941,0.058207,0.497462,0.194925,0.21978,0.108138,0.293255,0.070526,0.162866,0.048208,0.061408,0.058207,0.003956,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.117634,0.30238,0.056708,0.196185,0.053009,0.002477,0.006007,0.016414,1
0,0.075301,0.243902,0.020168,0.211111,0.204918,0.30303,0.098912,0.232941,0.110594,0.954315,0.11534,0.417582,0.108138,0.293255,0.052632,0.162866,0.123609,0.096901,0.058207,0.187933,0.05919,0.224719,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.111213,0.30238,0.031737,0.196185,0.053009,0.000983,0.000601,0.001515,1
0,0.075301,0.102439,0.020168,0.19,0.276639,0.15949,0.133531,0.232941,0.099534,0.497462,0.155709,0.21978,0.108138,0.293255,0.228947,0.162866,0.123609,0.124507,0.058207,0.182987,0.05919,0.303371,0.086957,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.169779,0.134063,0.09802,0.265957,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.122908,0.30238,0.043079,0.196185,0.053009,0.000882,0.002303,0.012879,1
0,0.106928,0.346341,0.020168,0.03,0.204918,0.226475,0.098912,0.232941,0.015716,0.497462,0.11534,0.21978,0.108138,0.293255,0.014211,0.162866,0.123609,0.039437,0.082654,0.026706,0.05919,0.224719,0.123478,0.050429,0.063857,0.030931,0.123609,0.074604,0.204918,0.086162,0.265957,0.057659,0.265957,0.052133,0.149477,0.04584,0.134063,0.09802,0.37766,0.161501,0.075301,0.386719,0.051133,0.048972,0.047506,0.513089,0.111111,0.295213,0.118436,0.30238,0.049909,0.208835,0.053009,0.00423,0.005406,0.015657,1
