@relation transfusion-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute MDS0 numeric
@attribute MDS1 numeric
@attribute MDS2 numeric
@attribute MDS3 numeric
@attribute class {1,2}

@data
0.027027,1,1,1,1
0,0.244898,0.244898,0.270833,1
0.013514,0.306122,0.306122,0.34375,1
0.027027,0.387755,0.387755,0.447917,1
0.013514,0.469388,0.469388,0.78125,2
0.054054,0.061224,0.061224,0.020833,2
0.027027,0.122449,0.122449,0.125,1
0.013514,0.22449,0.22449,0.34375,2
0.027027,0.163265,0.163265,0.208333,1
0.067568,0.918367,0.918367,1,1
0.054054,0.44898,0.44898,0.583333,2
0,0.040816,0.040816,0.020833,2
0.027027,0.183673,0.183673,0.270833,1
0.013514,0.244898,0.244898,0.46875,2
0.027027,0.102041,0.102041,0.135417,1
0.027027,0.081633,0.081633,0.09375,1
0.027027,0.265306,0.265306,0.479167,1
0.027027,0.285714,0.285714,0.489583,1
0.027027,0.102041,0.102041,0.135417,1
0.027027,0.040816,0.040816,0.020833,1
0.027027,0.040816,0.040816,0.020833,1
0.054054,0.204082,0.204082,0.270833,2
0.027027,0.102041,0.102041,0.145833,1
0.027027,0.102041,0.102041,0.145833,1
0.121622,0.163265,0.163265,0.145833,2
0.054054,0.265306,0.265306,0.395833,2
0.054054,0.102041,0.102041,0.125,2
0.054054,0.22449,0.22449,0.333333,1
0.054054,0.081633,0.081633,0.09375,1
0.054054,0.142857,0.142857,0.197917,2
0.013514,0.265306,0.265306,0.583333,2
0.054054,0.183673,0.183673,0.270833,1
0.054054,0.183673,0.183673,0.270833,1
0.054054,0.163265,0.163265,0.25,1
0.027027,0.306122,0.306122,0.645833,2
0.027027,0.142857,0.142857,0.270833,1
0.027027,0.22449,0.22449,0.46875,1
0.054054,0.102041,0.102041,0.145833,1
0.027027,0.265306,0.265306,0.572917,1
0.054054,0.122449,0.122449,0.208333,1
0.027027,0.244898,0.244898,0.53125,1
0.027027,0.081633,0.081633,0.145833,2
0.027027,0.081633,0.081633,0.145833,1
0.027027,0.081633,0.081633,0.145833,2
0.054054,0.387755,0.387755,0.697917,1
0.054054,0.163265,0.163265,0.270833,1
0.027027,0.163265,0.163265,0.354167,2
0.027027,0.020408,0.020408,0,2
0.027027,0.020408,0.020408,0,2
0.027027,0.020408,0.020408,0,2
0.027027,0.204082,0.204082,0.458333,2
0.027027,0.204082,0.204082,0.458333,1
0.027027,0.102041,0.102041,0.208333,2
0.027027,0.22449,0.22449,0.520833,2
0.054054,0.081633,0.081633,0.125,1
0.054054,0.367347,0.367347,0.697917,1
0.054054,0.142857,0.142857,0.25,1
