@relation vowel-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Sex numeric
@attribute 'Feature 0' numeric
@attribute 'Feature 1' numeric
@attribute 'Feature 2' numeric
@attribute 'Feature 3' numeric
@attribute 'Feature 4' numeric
@attribute 'Feature 5' numeric
@attribute 'Feature 6' numeric
@attribute 'Feature 7' numeric
@attribute 'Feature 8' numeric
@attribute 'Feature 9' numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11}

@data
0,0.36815,0.266541,0.463757,0.84205,0.494947,0.778691,0.390816,0.546819,0.252909,0.281534,1
0,0.441218,0.278828,0.457631,0.732699,0.47044,0.875435,0.39932,0.541116,0.339493,0.387516,2
0,0.723888,0.341525,0.232517,0.410988,0.358767,0.757193,0.32585,0.590936,0.275154,0.530234,3
0,0.684778,0.485665,0.252425,0.639461,0.271349,0.599431,0.329932,0.458583,0.520876,0.287711,4
0,0.611944,0.505986,0.418836,0.652668,0.124811,0.505849,0.656803,0.343037,0.646817,0.417425,5
0,0.552459,0.502205,0.442062,0.590069,0.13618,0.534619,0.596599,0.314226,0.63347,0.427503,6
0,0.404918,0.598299,0.524247,0.64897,0.03335,0.549478,0.632313,0.523109,0.68104,0.427178,7
0,0.297424,0.5638,0.666411,0.839937,0.078828,0.451786,0.37483,0.685774,0.748802,0.448309,8
0,0.316393,0.534026,0.3951,0.553883,0.366852,0.795131,0.348639,0.666567,0.494867,0.405072,9
0,0.366042,0.486137,0.283053,0.788959,0.553815,0.762883,0.364286,0.598739,0.572553,0.274382,10
0,0.510304,0.474638,0.343543,0.566825,0.32668,0.702498,0.327211,0.591837,0.545859,0.278609,11
0,0.364871,0.259452,0.481623,0.822504,0.481304,0.822321,0.402721,0.54922,0.279261,0.28186,1
0,0.462295,0.269376,0.415263,0.732171,0.473977,0.869744,0.388435,0.613445,0.287132,0.439857,2
0,0.720375,0.350977,0.218224,0.40412,0.359525,0.770155,0.309184,0.602041,0.242984,0.537386,3
0,0.680796,0.481727,0.250383,0.631273,0.294593,0.519127,0.422789,0.387455,0.592745,0.29909,4
0,0.625527,0.538437,0.373405,0.618595,0.141486,0.588049,0.586735,0.37395,0.657769,0.340377,5
0,0.558548,0.516226,0.446401,0.58373,0.115715,0.561176,0.606122,0.310924,0.63963,0.397269,6
0,0.381499,0.574669,0.543389,0.679081,0.043962,0.460639,0.638095,0.494598,0.694045,0.461964,7
0,0.295082,0.555135,0.667177,0.840201,0.055836,0.443566,0.37585,0.701681,0.756674,0.45091,8
0,0.334426,0.511657,0.328484,0.532224,0.373168,0.739804,0.477211,0.546519,0.686174,0.357607,9
0,0.360187,0.48598,0.276161,0.800317,0.548509,0.761303,0.368707,0.611645,0.529432,0.307867,10
0,0.530445,0.46046,0.336907,0.580296,0.307731,0.675308,0.331633,0.658764,0.528063,0.272432,11
0,0.362061,0.253781,0.471159,0.845219,0.488378,0.797344,0.40068,0.559124,0.320671,0.272757,1
0,0.479157,0.264965,0.386932,0.690967,0.462102,0.871641,0.44966,0.605042,0.383641,0.407997,2
0,0.7274,0.363737,0.199592,0.433175,0.396412,0.755612,0.302041,0.60114,0.259411,0.497074,3
0,0.678923,0.47574,0.249362,0.64131,0.287266,0.561808,0.356803,0.45048,0.563313,0.270806,4
0,0.603279,0.53891,0.346605,0.612784,0.18191,0.610496,0.498639,0.423469,0.599589,0.323472,5
0,0.544262,0.536389,0.42292,0.552298,0.144012,0.522921,0.67517,0.273409,0.622861,0.415475,6
0,0.369087,0.555135,0.534201,0.639461,0.109651,0.301296,0.74898,0.472389,0.669405,0.545189,7
0,0.286885,0.56695,0.660796,0.803487,0.02855,0.446412,0.405782,0.689076,0.745722,0.466515,8
0,0.351054,0.486767,0.335886,0.543053,0.343608,0.801138,0.404762,0.664166,0.606434,0.429454,9
0,0.344496,0.489288,0.281521,0.791337,0.549773,0.783433,0.347279,0.60024,0.494182,0.376463,10
0,0.55082,0.456994,0.343798,0.575277,0.297878,0.703762,0.315986,0.67497,0.482204,0.309818,11
0,0.371663,0.24874,0.454058,0.836503,0.488378,0.793867,0.429932,0.556423,0.354552,0.272107,1
0,0.503279,0.255986,0.361409,0.652404,0.447701,0.893456,0.451361,0.626951,0.4295,0.44896,2
0,0.733021,0.3661,0.18096,0.480718,0.406518,0.725893,0.326871,0.608643,0.255647,0.490247,3
0,0.684309,0.491336,0.222307,0.632858,0.316069,0.594372,0.336054,0.446879,0.528063,0.281534,4
0,0.582436,0.526307,0.343287,0.615954,0.245073,0.634208,0.428912,0.439676,0.549281,0.335176,5
0,0.514286,0.5523,0.405309,0.523772,0.201112,0.436927,0.730272,0.252401,0.563997,0.495449,6
0,0.386885,0.535602,0.521184,0.650291,0.09146,0.374644,0.708503,0.484394,0.703628,0.507802,7
0,0.266276,0.560019,0.673558,0.783148,0.129864,0.249447,0.598299,0.463685,0.817248,0.586801,8
0,0.373068,0.44896,0.343798,0.556788,0.350177,0.780588,0.391156,0.713986,0.632444,0.420026,9
0,0.356909,0.481727,0.228178,0.795563,0.568469,0.714512,0.446259,0.520408,0.622519,0.314044,10
0,0.590398,0.460933,0.312915,0.550185,0.293835,0.722415,0.321088,0.689676,0.448323,0.370286,11
0,0.378923,0.246377,0.435171,0.823032,0.493178,0.789757,0.47619,0.536014,0.383641,0.245124,1
0,0.507026,0.261657,0.337417,0.620444,0.439869,0.889662,0.459524,0.631453,0.41718,0.481795,2
0,0.692272,0.342785,0.194997,0.492076,0.405003,0.72368,0.313946,0.616447,0.249144,0.507802,3
0,0.681967,0.491808,0.202144,0.65346,0.319859,0.595321,0.316327,0.481993,0.465435,0.299415,4
0,0.538642,0.504411,0.346095,0.609614,0.307226,0.615555,0.452041,0.37395,0.542094,0.370936,5
0,0.496956,0.569156,0.386422,0.494453,0.242041,0.435979,0.72619,0.253001,0.524641,0.533485,6
0,0.410304,0.529301,0.482899,0.619651,0.072259,0.453999,0.678231,0.508103,0.713895,0.477568,7
0,0.234895,0.586169,0.647269,0.723719,0.009853,0.449257,0.505782,0.634154,0.759411,0.447984,8
0,0.390632,0.419817,0.323379,0.556788,0.343103,0.763516,0.393878,0.735594,0.613963,0.488296,9
0,0.357611,0.480151,0.193721,0.797676,0.562658,0.704711,0.457143,0.554322,0.635866,0.247399,10
0,0.612412,0.44644,0.315978,0.545431,0.260738,0.672779,0.335714,0.689976,0.500684,0.366385,11
0,0.376347,0.237713,0.421388,0.843899,0.498737,0.783433,0.490136,0.534514,0.37269,0.220091,1
0,0.477752,0.277883,0.346861,0.612784,0.439363,0.901043,0.45068,0.60024,0.36345,0.485371,2
0,0.681265,0.334594,0.21465,0.49234,0.414098,0.735694,0.312925,0.633854,0.24846,0.520156,3
0,0.665808,0.472747,0.237621,0.679081,0.33047,0.561808,0.328231,0.491597,0.456537,0.306892,4
0,0.484778,0.495747,0.346095,0.620708,0.345629,0.65128,0.402381,0.392857,0.477413,0.361508,5
0,0.502576,0.574354,0.37902,0.50317,0.210207,0.5362,0.634014,0.266807,0.574949,0.495774,6
0,0.407026,0.543793,0.425472,0.558637,0.105356,0.510591,0.666327,0.493397,0.69781,0.459363,7
0,0.227869,0.584594,0.643951,0.678024,0,0.439456,0.563605,0.635054,0.74538,0.45091,8
0,0.38993,0.398866,0.321593,0.58954,0.36003,0.81252,0.387755,0.788115,0.457221,0.55039,9
0,0.314286,0.493699,0.21465,0.79794,0.548509,0.74834,0.355102,0.646759,0.515743,0.220741,10
0,0.596019,0.439509,0.328994,0.567882,0.268065,0.656339,0.327551,0.677671,0.507529,0.31502,11
0,0.259719,0.233617,0.740429,0.483888,0.786256,0.717673,0.748299,0.39886,0.28371,0.328999,1
0,0.899063,0.195967,0.378765,0.269678,0.418393,0.62504,0.745238,0.635054,0.742984,0.560143,2
0,0.795082,0.272842,0.393058,0.282092,0.558868,0.501423,0.571769,0.526711,0.469884,0.459688,3
0,0.762763,0.451953,0.228178,0.469889,0.503032,0.271261,0.534354,0.484394,0.486995,0.386541,4
0,0.598829,0.57719,0.632721,0.39065,0.268823,0.360417,0.487075,0.472389,0.719028,0.421977,5
0,0.676815,0.405955,0.716437,0.349709,0.467155,0.264622,0.490816,0.303121,0.8436,0.553316,6
0,0.484778,0.722747,0.380551,0.268093,0.489389,0.165666,0.569388,0.577431,0.73922,0.465865,7
0,0.297424,0.728891,0.758806,0.23851,0.254421,0.296238,0.62381,0.601441,0.525325,0.756827,8
0,0.245902,0.663359,0.674834,0.460909,0.292825,0.466962,0.552721,0.459184,0.74538,0.813719,9
0,0.161827,0.552142,0.612302,0.50766,0.403992,0.658236,0.590136,0.460684,0.607118,0.796164,10
0,0.49719,0.419502,0.647014,0.315108,0.45427,0.552008,0.538095,0.365546,0.586585,0.502601,11
0,0.219204,0.226213,0.820572,0.547015,0.774886,0.665507,0.764626,0.409964,0.268994,0.333225,1
0,0.832319,0.209515,0.3683,0.287639,0.457554,0.681948,0.739796,0.628151,0.654004,0.494473,2
0,0.820141,0.277253,0.391526,0.280771,0.542446,0.512804,0.572109,0.557323,0.473648,0.441482,3
0,0.763232,0.432105,0.283818,0.399894,0.498484,0.318052,0.506803,0.488896,0.51848,0.412874,4
0,0.595082,0.625394,0.575804,0.364765,0.281203,0.417958,0.47619,0.522509,0.649555,0.389467,5
0,0.648712,0.423598,0.733282,0.283677,0.490147,0.23933,0.522789,0.335534,0.823066,0.537711,6
0,0.483607,0.685255,0.460439,0.363708,0.362304,0.245337,0.431973,0.530912,0.88809,0.43173,7
0,0.306557,0.765595,0.72001,0.195457,0.262759,0.344926,0.679592,0.631753,0.488706,0.720091,8
0,0.221077,0.674858,0.678663,0.379556,0.328449,0.432501,0.556463,0.485894,0.668378,0.772432,9
0,0.131382,0.587429,0.638081,0.552034,0.33527,0.717673,0.565646,0.39886,0.682752,0.636541,10
0,0.510773,0.387366,0.714906,0.340201,0.388075,0.569396,0.642857,0.346939,0.476386,0.570546,11
0,0.172834,0.259452,0.853752,0.614897,0.733957,0.666456,0.744898,0.323229,0.247091,0.342328,1
0,0.785714,0.210618,0.376723,0.309297,0.498989,0.726209,0.717347,0.620648,0.604723,0.445384,2
0,0.757611,0.261972,0.393058,0.306128,0.52097,0.564338,0.565986,0.531513,0.441478,0.434005,3
0,0.772131,0.432735,0.292241,0.368727,0.483578,0.344293,0.52449,0.456783,0.548939,0.401495,4
0,0.588056,0.646503,0.535477,0.380613,0.295351,0.403414,0.465646,0.543818,0.609856,0.375488,5
0,0.622248,0.376654,0.74196,0.36635,0.374432,0.270629,0.572109,0.289916,0.777892,0.569896,6
0,0.505152,0.689666,0.503828,0.349709,0.296867,0.358837,0.431293,0.52581,0.85729,0.446034,7
0,0.321077,0.790643,0.665646,0.198891,0.268065,0.368321,0.772449,0.65066,0.451061,0.682055,8
