@relation waveform-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddExpression-Ea41+1-Nexpression-weka.filters.unsupervised.attribute.Remove-R41

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x39 numeric
@attribute x40 numeric
@attribute a41+1 {1,2,3}

@data
0.480406,0.269076,0.548139,0.502793,0.332675,0.304072,0.474783,0.379747,0.375391,0.240084,0.24275,0.4238,0.756494,0.740484,0.66073,0.566163,0.585687,0.789256,0.52669,0.697283,0.636115,0.479197,0.628966,0.485549,0.471748,0.623656,0.473901,0.329235,0.474394,0.430636,0.397541,0.386364,0.40176,0.545689,0.544034,0.494891,0.375559,0.549215,0.435673,0.557241,3
0.56894,0.481928,0.3543,0.355307,0.492596,0.415385,0.387826,0.634859,0.478624,0.319415,0.267454,0.569937,0.58658,0.670415,0.514693,0.588847,0.583804,0.639463,0.68446,0.285899,0.447332,0.210904,0.405517,0.583815,0.316689,0.528226,0.489011,0.52459,0.384097,0.839595,0.525956,0.710606,0.709677,0.480051,0.47017,0.617518,0.511177,0.599144,0.397661,0.547586,1
0.413643,0.564926,0.532734,0.530726,0.583416,0.6,0.526957,0.661149,0.807091,0.556367,0.162191,0.359081,0.507576,0.147059,0.279608,0.185255,0.298493,0.440083,0.470937,0.389392,0.303694,0.773314,0.53931,0.693642,0.274639,0.501344,0.480769,0.596995,0.544474,0.481214,0.610656,0.560606,0.668622,0.557272,0.535511,0.830657,0.532042,0.456491,0.318713,0.655172,2
0.571843,0.522088,0.428755,0.52067,0.444225,0.264253,0.151304,0.21519,0.247132,0.270355,0.24812,0.64405,0.633117,0.65917,0.638468,0.807183,0.629944,0.47314,0.659549,0.463131,0.433653,0.639885,0.615172,0.601156,0.637319,0.490591,0.48489,0.536885,0.907008,0.449422,0.644809,0.581818,0.460411,0.471042,0.355114,0.40438,0.670641,0.661912,0.274854,0.531034,1
0.396226,0.643909,0.30552,0.494972,0.759131,0.743891,0.651304,0.511198,0.819604,0.665971,0.568206,0.348643,0.524892,0.444637,0.385574,0.299622,0.570621,0.404959,0.136418,0.721863,0.463748,0.371593,0.564138,0.546243,0.53088,0.502688,0.634615,0.434426,0.296496,0.456647,0.474044,0.610606,0.524927,0.651223,0.230114,0.729927,0.502235,0.386591,0.649123,0.572414,2
0.599419,0.534137,0.315789,0.477095,0.520237,0.481448,0.446087,0.613437,0.661105,0.558455,0.570354,0.646138,0.626623,0.450692,0.54764,0.280718,0.367232,0.408058,0.300119,0.398448,0.471956,0.394548,0.292414,0.458092,0.323259,0.391129,0.517857,0.430328,0.789757,0.404624,0.463115,0.70303,0.461877,0.271557,0.522727,0.362044,0.5693,0.2097,0.346491,0.485517,2
0.492017,0.448461,0.685494,0.632402,0.737414,0.848869,0.724348,0.661149,0.632951,0.585595,0.37594,0.36952,0.098485,0.297578,0.319679,0.44707,0.279661,0.342975,0.47331,0.570505,0.473324,0.506456,0.376552,0.696532,0.465177,0.198925,0.490385,0.718579,0.331536,0.619942,0.538251,0.554545,0.390029,0.464607,0.446023,0.578102,0.551416,0.405136,0.479532,0.554483,1
0.470247,0.374833,0.426187,0.297207,0.205331,0.238914,0.406957,0.654333,0.544317,0.786013,0.816327,0.777662,0.844156,0.472318,0.336598,0.467864,0.542373,0.395661,0.570581,0.43467,0.689466,0.472023,0.537931,0.556358,0.760841,0.389785,0.445055,0.40847,0.509434,0.596821,0.401639,0.516667,0.545455,0.558559,0.43892,0.227737,0.692996,0.366619,0.807018,0.648276,3
0.303338,0.793842,0.784339,0.724022,0.76308,0.746606,0.80087,0.759494,0.64755,0.68476,0.342642,0.152401,0.418831,0.134083,0.103295,0.401701,0.374765,0.47624,0.429419,0.373868,0.593707,0.484935,0.547586,0.572254,0.596583,0.469086,0.54533,0.416667,0.633423,0.507225,0.428962,0.337879,0.514663,0.725869,0.474432,0.474453,0.788376,0.631954,0.505848,0.522759,1
0.554427,0.56091,0.264442,0.103911,0.155972,0.342081,0.262609,0.463486,0.483837,0.561587,0.443609,0.718163,0.701299,0.557093,0.569902,0.632325,0.836158,0.653926,0.688019,0.553687,0.484268,0.517934,0.486897,0.385838,0.381078,0.319892,0.510989,0.532787,0.373315,0.611272,0.607923,0.498485,0.727273,0.284427,0.473011,0.454015,0.433681,0.416548,0.630117,0.696552,3
0.355588,0.372155,0.54172,0.384358,0.549852,0.634389,0.466957,0.76631,0.770594,0.561587,0.371643,0.479123,0.363636,0.346021,0.30187,0.276938,0.322034,0.335744,0.543298,0.260026,0.626539,0.341463,0.649655,0.495665,0.906702,0.439516,0.489011,0.520492,0.65903,0.726879,0.665301,0.480303,0.617302,0.602317,0.434659,0.506569,0.61848,0.532097,0.410819,0.666207,2
0.586357,0.266399,0.382542,0.4,0.561698,0.291403,0.453043,0.257059,0.442127,0.416493,0.64232,0.598121,0.669913,0.512976,0.674087,0.553875,0.678908,0.487603,0.805457,0.477361,0.820793,0.285509,0.553103,0.58815,0.625493,0.69086,0.648352,0.465847,0.43531,0.50578,0.621585,0.337879,0.428152,0.298584,0,0.767883,0.450075,0.433666,0.421053,0.544828,3
0.480406,0.372155,0.527599,0.407821,0.394867,0.20724,0.342609,0.416748,0.38999,0.688935,0.616541,0.677453,0.835498,0.639273,0.479964,0.334594,0.306968,0.411157,0.508897,0.408797,0.615595,0.506456,0.508966,0.225434,0.352168,0.43414,0.372253,0.40847,0.398922,0.447977,0.786885,0.369697,0.618768,0.491634,0.396307,0.677372,0.457526,0.407989,0.46345,0.373793,3
0.339623,0.291834,0.386393,0.503911,0.203356,0.320362,0.365217,0.575463,0.603754,0.518789,0.748657,0.699374,0.87987,0.537197,0.398041,0.577505,0.369115,0.496901,0.205219,0.432083,0.540356,0.124821,0.391724,0.32948,0.399474,0.552419,0.611264,0.262295,0.421833,0.595376,0.423497,0.569697,0.541056,0.517375,0.392045,0.510949,0.824143,0.681883,0.516082,0.21931,3
0.436865,0.538153,0.406932,0.393296,0.40079,0.258824,0.246957,0.29406,0.304484,0.470772,0.46724,0.544885,0.692641,0.586505,0.60463,0.643667,0.798493,0.563017,0.704626,0.477361,0.4829,0.375897,0.526897,0.583815,0.232589,0.522849,0.54533,0.427596,0.38814,0.455202,0.435792,0.3,0.590909,0.32175,0.43608,0.490511,0.293592,0.544936,0.669591,0.441379,3
0.489115,0.394913,0.335045,0.598883,0.212241,0.372851,0.449565,0.471276,0.448384,0.549061,0.54565,0.718163,0.800866,0.456747,0.66073,0.44707,0.579096,0.495868,0.417556,0.485123,0.49658,0.463415,0.357241,0.32948,0.634691,0.541667,0.56456,0.553279,0.328841,0.391618,0.424863,0.442424,0.516129,0.553411,0.40625,0.576642,0.532042,0.440799,0.695906,0.776552,3
0.597968,0.657296,0.29525,0.405587,0.379072,0.337557,0.333913,0.426485,0.406674,0.41858,0.723953,0.772443,0.707792,0.550173,0.533393,0.482042,0.535782,0.641529,0.651246,0.332471,0.227086,0.400287,0.526897,0.549133,0.787122,0.408602,0.501374,0.5,0.415094,0.407514,0.625683,0.360606,0.252199,0.468468,0.556818,0.465693,0.257824,0.365193,0.725146,0.808276,3
0.359942,0.262383,0.282413,0.458101,0.305035,0.261538,0.345217,0.398247,0.40146,0.493737,0.613319,0.570981,0.528139,0.644464,0.674978,0.540643,0.6742,0.558884,0.689205,0.60414,0.559508,0.295552,0.362759,0.504335,0.365309,0.568548,0.480769,0.430328,0.45283,0.290462,0.646175,0.787879,0.502933,0.14157,0.224432,0.6,0.624441,0.519258,0.744152,0.382069,3
0.783745,0.606426,0.557125,0.538547,0.598223,0.548416,0.586957,0.740019,0.680918,0.559499,0.713212,0.517745,0.365801,0.239619,0.268923,0.480151,0.305085,0.541322,0.487544,0.160414,0.321477,0.265423,0.710345,0.403179,0.620237,0.633065,0.25,0.669399,0.707547,0.434971,0.340164,0.339394,0.435484,0.576577,0.184659,0.527007,0.362146,0.415121,0.678363,0.306207,2
0.535559,0.566265,0.370988,0.441341,0.501481,0.458824,0.402609,0.480039,0.53806,0.471816,0.285714,0.492693,0.585498,0.525087,0.609083,0.549149,0.52919,0.546488,0.4828,0.639069,0.831737,0.364419,0.546207,0.495665,0.496715,0.598118,0.502747,0.534153,0.393531,0.343931,0.613388,0.45,0.491202,0.266409,0.335227,0.616058,0.487332,0.189729,0.387427,0.572414,1
0.550073,0.240964,0.215661,0.686034,0.397828,0.476923,0.355652,0.38851,0.441084,0.763048,0.773362,0.77453,0.585498,0.523356,0.331256,0.279773,0.329567,0.505165,0.199288,0.569211,0.49658,0.391679,0.438621,0.58526,0.558476,0.482527,0.548077,0.381148,0.526954,0.424855,0.56694,0.65303,0.337243,0.612613,0.607955,0.677372,0.722802,0.619116,0.75,0.70069,3
0.584906,0.441767,0.412067,0.415642,0.605133,0.504977,0.48,0.306719,0.409802,0.349687,0.290011,0.343424,0.558442,0.525087,0.607302,0.461248,0.528249,0.429752,0.4828,0.443726,0.74145,0.424677,0.503448,0.342486,0.207622,0.348118,0.543956,0.669399,0.319407,0.456647,0.571038,0.484848,0.651026,0.564994,0.582386,0.348905,0.481371,0.252496,0.315789,0.415172,1
0.436865,0.759036,0.365854,0.786592,0.635735,0.520362,0.672174,0.703019,0.551616,0.412317,0.274973,0.409186,0.399351,0.380623,0.381122,0.418715,0.468927,0.554752,0.488731,0.196636,0.341997,0.509326,0.452414,0.356936,0.641261,0.47043,0.461538,0.258197,0.485175,0.583815,0.562842,0.524242,0.721408,0.485199,0.651989,0.60438,0.420268,0.378031,0.412281,0.631724,1
0.33672,0.669344,0.594352,0.442458,0.286278,0.158371,0.327826,0.478092,0.564129,0.326722,0.691729,0.688935,0.905844,0.690311,0.662511,0.548204,0.612994,0.616736,0.398577,0.61837,0.541724,0.512195,0.347586,0.632948,0.455979,0.629032,0.633242,0.60929,0.545822,0.401734,0.577869,0.704545,0.451613,0.546976,0.46733,0.640876,0.509687,0.529244,0.654971,0.612414,3
0.609579,0.42838,0.602054,0.524022,0.781836,0.819005,0.749565,0.628043,0.450469,0.563674,0.387755,0.181628,0.290043,0.09083,0.148709,0.372401,0.316384,0.385331,0.447212,0.482536,0.664843,0.637016,0.569655,0.349711,0.580815,0.467742,0.440934,0.512295,0.469003,0.41185,0.580601,0.468182,0.739003,0.796654,0.5,0.440876,0.52161,0.350927,0.535088,0.441379,2
0.658926,0.647925,0.526316,0.606704,0.476802,0.590045,0.533043,0.682571,0.714286,0.641962,0.547798,0.52714,0.319264,0.203287,0.325913,0.278828,0.30791,0.480372,0.604982,0.658473,0.47606,0.698709,0.255172,0.465318,0.662286,0.314516,0.377747,0.461749,0.555256,0.236994,0.479508,0.498485,0.73607,0.504505,0.305398,0.623358,0.397914,0.476462,0.431287,0.542069,2
0.521045,0.405622,0.368421,0.362011,0.435341,0.503167,0.417391,0.565725,0.591241,0.495825,0.682062,0.789144,0.865801,0.704152,0.417631,0.372401,0.440678,0.493802,0.596679,0.433376,0.50342,0.48924,0.382069,0.815029,0.545335,0.231183,0.535714,0.471311,0.641509,0.381503,0.654372,0.606061,0.193548,0.395109,0.387784,0.766423,0.403875,0.587732,0.426901,0.550345,3
0.403483,0.298527,0.534018,0.512849,0.692004,0.813575,0.728696,0.65628,0.767466,0.368476,0.203008,0.389353,0.305195,0.238754,0.39537,0.256144,0.56403,0.243802,0.479241,0.522639,0.347469,0.517934,0.66069,0.58815,0.363995,0.512097,0.673077,0.592896,0.691375,0.40896,0.646175,0.386364,0.533724,0.483912,0.620739,0.462774,0.654247,0.470756,0.649123,0.666207,1
0.740203,0.651941,0.680359,0.406704,0.381046,0.552036,0.65913,0.45667,0.348279,0.267223,0.307197,0.470772,0.418831,0.402249,0.462155,0.431002,0.594162,0.577479,0.627521,0.591203,0.488372,0.292683,0.728276,0.394509,0.57293,0.63172,0.412088,0.547814,0.521563,0.569364,0.460383,0.519697,0.504399,0.454311,0.535511,0.553285,0.216095,0.108417,0.409357,0.753103,1
0.628447,0.531459,0.451861,0.494972,0.48766,0.454299,0.473913,0.520935,0.326382,0.176409,0.155747,0.461378,0.515152,0.450692,0.403384,0.504726,0.618644,0.489669,0.58363,0.413972,0.543092,0.526542,0.470345,0.791908,0.290407,0.701613,0.646978,0.413934,0.82345,0.300578,0.295082,0.95,0.382698,0.46332,0.572443,0.582482,0.302534,0.203994,0.400585,0.211034,1
0.782293,0.414993,0.525032,0.312849,0.483712,0.221719,0.30087,0.290166,0.368092,0.361169,0.415682,0.511482,0.809524,0.720588,0.563669,0.765595,0.723164,0.60124,0.727165,0.605433,0.622435,0.404591,0.58069,0.630058,0.609724,0.412634,0.375,0.536885,0.566038,0.359827,0.612022,0.571212,0.337243,0.328185,0.411932,0.334307,0.500745,0.215407,0.557018,0.230345,3
0.349782,0.348059,0.545571,0.418994,0.422507,0.571946,0.630435,0.660175,0.80292,0.596033,0.683136,0.539666,0.532468,0.372837,0.357079,0.327977,0.380414,0.419421,0.226572,0.508409,0.647059,0.13056,0.466207,0.361272,0.525624,0.15457,0.637363,0.739071,0.371968,0.539017,0.422131,0.706061,0.529326,0.495495,0.625,0.740146,0.347243,0.446505,0.52193,0.24,2
0.290276,0.29585,0.331194,0.397765,0.429418,0.391855,0.269565,0.306719,0.490094,0.473904,0.496241,0.560543,0.589827,0.382353,0.589492,0.400756,0.740113,0.661157,0.597865,0.379043,0.322845,0.571019,0.489655,0.575145,0.424442,0.516129,0.703297,0.540984,0.486523,0.608382,0.505464,0.466667,0.683284,0.62677,0.56392,0.564964,0.302534,0.544936,0.635965,0.405517,3
0.634253,0.253012,0.454429,0.316201,0.42843,0.491403,0.326957,0.458617,0.241919,0.509395,0.338346,0.5,0.537879,0.58218,0.519145,0.740076,0.588512,0.483471,0.625148,0.335058,0.562244,0.285509,0.387586,0.395954,0.604468,0.393817,0.368132,0.818306,0.473046,0.432081,0.602459,0.495455,0.329912,0.491634,0.169034,0.668613,0.496274,0.413695,0.723684,0.656552,1
0.297533,0.448461,0.360719,0.43352,0.265548,0.348416,0.403478,0.411879,0.663191,0.605428,0.646617,0.735908,0.550866,0.652249,0.593054,0.589792,0.539548,0.546488,0.53618,0.495472,0.383037,0.236729,0.575172,0.196532,0.285151,0.428763,0.494505,0.387978,0.38814,0.567919,0.178962,0.581818,0.696481,0.468468,0.25142,0.272993,0.166915,0.583452,0.416667,0.343448,3
0.364296,0.576975,0.483954,0.349721,0.318855,0.469683,0.289565,0.070107,0.283629,0.395616,0.213749,0.40501,0.701299,0.634083,0.599288,0.838374,0.70904,0.667355,0.844603,0.351876,0.581395,0.324247,0.671724,0.566474,0.513798,0.389785,0.561813,0.68306,0.362534,0.473988,0.5,0.334848,0.667155,0.312741,0.619318,0.20146,0.585693,0.252496,0.564327,0.61931,1
0.313498,0.31593,0.326059,0.586592,0.551826,0.617195,0.801739,0.588121,0.768509,0.691023,0.470462,0.306889,0.316017,0.312284,0.486198,0.187146,0.385122,0.30062,0.284698,0.655886,0.396717,0.403156,0.474483,0.601156,0.394218,0.606183,0.508242,0.519126,0.34097,0.49422,0.422131,0.548485,0.428152,0.418275,0.363636,0.418978,0.247392,0.450785,0.479532,0.64,2
0.415094,0.531459,0.341463,0.681564,0.482725,0.549321,0.357391,0.380721,0.500521,0.31524,0.180451,0.422756,0.650433,0.58218,0.521817,0.564272,0.519774,0.559917,0.516014,0.230272,0.430917,0.490674,0.157241,0.618497,0.505913,0.63172,0.520604,0.284153,0.316712,0.403179,0.407104,0.575758,0.416422,0.3861,0.419034,0.420438,0.502235,0.681883,0.619883,0.645517,1
0.45283,0.467202,0.736842,0.696089,0.525173,0.634389,0.525217,0.617332,0.794578,0.682672,0.506982,0.420668,0.373377,0.49827,0.211932,0.34121,0.447269,0.485537,0.590747,0.359638,0.465116,0.493544,0.408276,0.570809,0.375821,0.439516,0.652473,0.613388,0.384097,0.524566,0.409836,0.574242,0.306452,0.619048,0.457386,0.557664,0.479881,0.493581,0.520468,0.464828,2
0.593614,0.558233,0.496791,0.716201,0.530109,0.465158,0.594783,0.453749,0.466111,0.224426,0.416756,0.23382,0.560606,0.362457,0.402493,0.534972,0.651601,0.609504,0.550415,0.602846,0.413133,0.368723,0.462069,0.34104,0.219448,0.581989,0.416209,0.834699,0.378706,0.531792,0.430328,0.5,0.329912,0.530245,0.788352,0.270073,0.470939,0.550642,0.390351,0.342069,1
0.300435,0.860776,0.446727,0.437989,0.381046,0.627149,0.434783,0.605648,0.687174,0.707724,0.873255,0.54071,0.496753,0.450692,0.469279,0.314745,0.393597,0.251033,0.303677,0.257439,0.678523,0.144907,0.296552,0.309249,0.445466,0.623656,0.460165,0.497268,0.338275,0.495665,0.38388,0.404545,0.219941,0.664093,0.451705,0.430657,0.628912,0.310984,0.538012,0.191724,2
