@relation WineCultivars-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RemoveUseless-M99.0

@attribute Alcohol numeric
@attribute Malicacid numeric
@attribute Ash numeric
@attribute Alkalinityash numeric
@attribute Magnesium numeric
@attribute Totalphenols numeric
@attribute Flavanoids numeric
@attribute Nonflavanoidphenols numeric
@attribute Proanthocyanins numeric
@attribute Colorintensity numeric
@attribute Hue numeric
@attribute diluted numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
0.842105,0.1917,0.572193,0.257732,0.619565,0.627586,0.57384,0.283019,0.59306,0.346359,0.455285,0.970696,0.557554,1
0.571053,0.205534,0.417112,0.030928,0.326087,0.575862,0.510549,0.245283,0.274448,0.234458,0.463415,0.78022,0.546763,1
0.560526,0.320158,0.700535,0.412371,0.336957,0.627586,0.611814,0.320755,0.757098,0.349911,0.447154,0.695971,0.643885,1
0.878947,0.23913,0.609626,0.319588,0.467391,0.989655,0.664557,0.207547,0.55836,0.538188,0.308943,0.798535,0.856115,1
0.581579,0.365613,0.807487,0.536082,0.521739,0.627586,0.495781,0.490566,0.444795,0.22913,0.455285,0.608059,0.320144,1
0.834211,0.201581,0.582888,0.237113,0.456522,0.789655,0.64346,0.396226,0.492114,0.444938,0.463415,0.578755,0.834532,1
0.884211,0.22332,0.582888,0.206186,0.282609,0.524138,0.459916,0.320755,0.495268,0.311723,0.439024,0.846154,0.719424,1
0.797368,0.278656,0.668449,0.360825,0.554348,0.558621,0.457806,0.339623,0.264984,0.293961,0.471545,0.846154,0.723022,1
1,0.177866,0.433155,0.175258,0.293478,0.627586,0.556962,0.301887,0.495268,0.307282,0.487805,0.578755,0.543165,1
0.744737,0.120553,0.486631,0.278351,0.304348,0.689655,0.592827,0.169811,0.454259,0.486679,0.430894,0.835165,0.543165,1
0.807895,0.280632,0.502674,0.381443,0.380435,0.67931,0.628692,0.169811,0.621451,0.356128,0.626016,0.695971,0.877698,1
0.813158,0.146245,0.513369,0.319588,0.271739,0.42069,0.440928,0.245283,0.365931,0.28952,0.560976,0.567766,0.71223,1
0.715789,0.195652,0.561497,0.278351,0.206522,0.558621,0.510549,0.301887,0.44164,0.342806,0.544715,0.59707,0.741007,1
0.978947,0.195652,0.550802,0.041237,0.228261,0.731034,0.706751,0.566038,0.757098,0.325044,0.626016,0.534799,0.618705,1
0.684211,0.211462,0.716578,0.340206,0.456522,0.644828,0.542194,0.320755,0.33123,0.493783,0.650407,0.589744,0.733813,1
0.860526,0.233202,0.727273,0.484536,0.543478,0.627586,0.590717,0.377358,0.492114,0.396092,0.479675,0.505495,0.71223,1
0.736842,0.164032,0.673797,0.484536,0.48913,0.67931,0.64557,0.509434,0.413249,0.431616,0.528455,0.47619,0.604317,1
0.831579,0.167984,0.59893,0.304124,0.413043,0.8,0.757384,0.358491,0.457413,0.618117,0.609756,0.567766,1,1
0.686842,0.466403,0.641711,0.237113,0.5,0.593103,0.567511,0.075472,0.394322,0.298401,0.390244,0.765568,0.399281,1
0.5,0.604743,0.68984,0.412371,0.347826,0.493103,0.436709,0.226415,0.495268,0.245115,0.447154,0.824176,0.345324,1
0.705263,0.221344,0.534759,0.309278,0.336957,0.562069,0.535865,0.264151,0.403785,0.182948,0.512195,1,0.535971,1
0.478947,0.16996,0.620321,0.371134,0.271739,0.517241,0.42827,0.245283,0.33123,0.194494,0.495935,0.864469,0.521583,1
0.65,0.211462,0.668449,0.484536,0.282609,0.534483,0.478903,0.283019,0.394322,0.158082,0.520325,0.934066,0.399281,1
0.531579,0.258893,0.994652,0.742268,0.586957,0.568966,0.493671,0.641509,0.476341,0.16341,0.528455,0.70696,0.388489,1
